BayesianSearch: Testing config: {'topK': 10, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.01} - Exception 'NoneType' object has no attribute 'copy'
BayesianSearch: Testing config: {'topK': 50, 'sgd_mode': 'adagrad', 'lambda_i': 0.001, 'lambda_j': 1e-09} - Exception 'NoneType' object has no attribute 'copy'
BayesianSearch: Testing config: {'topK': 600, 'sgd_mode': 'adagrad', 'lambda_i': 0.1, 'lambda_j': 1e-06} - Exception 'NoneType' object has no attribute 'copy'
BayesianSearch: Testing config: {'topK': 800, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-06} - Exception 'NoneType' object has no attribute 'copy'
BayesianSearch: Testing config: {'topK': 5, 'sgd_mode': 'adam', 'lambda_i': 0.01, 'lambda_j': 0.01} - Exception 'NoneType' object has no attribute 'copy'
BayesianSearch: New best config found. Config: {'topK': 150, 'sgd_mode': 'adagrad', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.46492194047618735, 'PRECISION': 0.14878999999999845, 'RECALL': 0.14878999999999845, 'RECALL_TEST_LEN': 0.14878999999999845, 'MAP': 0.08046138492063415, 'MRR': 0.40943805555555873, 'NDCG': 0.17190822033286093, 'F1': 0.14878999999999845, 'HIT_RATE': 1.4879, 'ARHR': 0.5674796825396834, 'NOVELTY': 0.005291097555312735, 'DIVERSITY_MEAN_INTER_LIST': 0.9690873307330733, 'DIVERSITY_HERFINDAHL': 0.9968990422, 'COVERAGE_ITEM': 0.12003876908165738, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18886618240516545, 'SHANNON_ENTROPY': 9.189459241548313}
BayesianSearch: New best config found. Config: {'topK': 300, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 0.0, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.45821737698412307, 'PRECISION': 0.14476999999999884, 'RECALL': 0.14476999999999884, 'RECALL_TEST_LEN': 0.14476999999999884, 'MAP': 0.07677795238095203, 'MRR': 0.39822603174603494, 'NDCG': 0.16631074066236615, 'F1': 0.14476999999999884, 'HIT_RATE': 1.4477, 'ARHR': 0.5467245634920657, 'NOVELTY': 0.005229631050660965, 'DIVERSITY_MEAN_INTER_LIST': 0.9640088828882889, 'DIVERSITY_HERFINDAHL': 0.9963912482, 'COVERAGE_ITEM': 0.10637266779743154, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1764864936247723, 'SHANNON_ENTROPY': 8.926103409025}
BayesianSearch: New best config found. Config: {'topK': 400, 'sgd_mode': 'adagrad', 'lambda_i': 0.0, 'lambda_j': 1e-09, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.45716221031745746, 'PRECISION': 0.14440999999999896, 'RECALL': 0.14440999999999896, 'RECALL_TEST_LEN': 0.14440999999999896, 'MAP': 0.07708824999999929, 'MRR': 0.3990294444444473, 'NDCG': 0.1664040300771594, 'F1': 0.14440999999999896, 'HIT_RATE': 1.4441, 'ARHR': 0.5483289285714308, 'NOVELTY': 0.0052475419195576346, 'DIVERSITY_MEAN_INTER_LIST': 0.9637068166816681, 'DIVERSITY_HERFINDAHL': 0.9963610446, 'COVERAGE_ITEM': 0.10709958807850739, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17825279059249208, 'SHANNON_ENTROPY': 8.941486841305665}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.46049876190475825, 'PRECISION': 0.14675999999999798, 'RECALL': 0.14675999999999798, 'RECALL_TEST_LEN': 0.14675999999999798, 'MAP': 0.07833725793650739, 'MRR': 0.404180079365083, 'NDCG': 0.16893542732074857, 'F1': 0.14675999999999798, 'HIT_RATE': 1.4676, 'ARHR': 0.5562823809523828, 'NOVELTY': 0.005247189273866627, 'DIVERSITY_MEAN_INTER_LIST': 0.9663834623462347, 'DIVERSITY_HERFINDAHL': 0.9966286824, 'COVERAGE_ITEM': 0.11301187303125758, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17949366480925846, 'SHANNON_ENTROPY': 9.035101548640952}
BayesianSearch: New best config found. Config: {'topK': 800, 'sgd_mode': 'adagrad', 'lambda_i': 0.01, 'lambda_j': 0.0, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.4535702460317428, 'PRECISION': 0.14278999999999906, 'RECALL': 0.14278999999999906, 'RECALL_TEST_LEN': 0.14278999999999906, 'MAP': 0.07580809126984063, 'MRR': 0.3951613888888911, 'NDCG': 0.16433296699151398, 'F1': 0.14278999999999906, 'HIT_RATE': 1.4279, 'ARHR': 0.5410674206349235, 'NOVELTY': 0.005229064298707938, 'DIVERSITY_MEAN_INTER_LIST': 0.9611312691269126, 'DIVERSITY_HERFINDAHL': 0.9961035156, 'COVERAGE_ITEM': 0.10331960261691302, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17247823722456632, 'SHANNON_ENTROPY': 8.839882404728773}
BayesianSearch: New best config found. Config: {'topK': 150, 'sgd_mode': 'adagrad', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.4655540595238061, 'PRECISION': 0.14867999999999812, 'RECALL': 0.14867999999999812, 'RECALL_TEST_LEN': 0.14867999999999812, 'MAP': 0.08070973412698322, 'MRR': 0.40954392857143185, 'NDCG': 0.17202297186404467, 'F1': 0.14867999999999812, 'HIT_RATE': 1.4868, 'ARHR': 0.5683766666666693, 'NOVELTY': 0.005292309310762776, 'DIVERSITY_MEAN_INTER_LIST': 0.9692830423042305, 'DIVERSITY_HERFINDAHL': 0.9969186114, 'COVERAGE_ITEM': 0.12042645989823116, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1889322204344328, 'SHANNON_ENTROPY': 9.195012593276722}
BayesianSearch: New best config found. Config: {'topK': 5, 'sgd_mode': 'adagrad', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.42458440079364745, 'PRECISION': 0.13166000000000058, 'RECALL': 0.13166000000000058, 'RECALL_TEST_LEN': 0.13166000000000058, 'MAP': 0.06753043650793622, 'MRR': 0.36002710317460457, 'NDCG': 0.14973938011452556, 'F1': 0.13166000000000058, 'HIT_RATE': 1.3166, 'ARHR': 0.48848444444444705, 'NOVELTY': 0.0054398163286986335, 'DIVERSITY_MEAN_INTER_LIST': 0.9775232903290328, 'DIVERSITY_HERFINDAHL': 0.9977425538, 'COVERAGE_ITEM': 0.13947177126241822, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22167544980896142, 'SHANNON_ENTROPY': 9.653114622161265}
BayesianSearch: New best config found. Config: {'topK': 50, 'sgd_mode': 'adagrad', 'lambda_i': 1e-09, 'lambda_j': 0.0, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.46242834920634523, 'PRECISION': 0.14992999999999848, 'RECALL': 0.14992999999999848, 'RECALL_TEST_LEN': 0.14992999999999848, 'MAP': 0.08206737698412614, 'MRR': 0.40852980158730434, 'NDCG': 0.17342388285771013, 'F1': 0.14992999999999848, 'HIT_RATE': 1.4993, 'ARHR': 0.5728413492063518, 'NOVELTY': 0.005345995122817378, 'DIVERSITY_MEAN_INTER_LIST': 0.9737999439943995, 'DIVERSITY_HERFINDAHL': 0.9973702564, 'COVERAGE_ITEM': 0.13360794766173975, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20405925308194342, 'SHANNON_ENTROPY': 9.45380494783979}
BayesianSearch: New best config found. Config: {'topK': 300, 'sgd_mode': 'adam', 'lambda_i': 0.01, 'lambda_j': 0.01, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.4571536984126955, 'PRECISION': 0.14523999999999845, 'RECALL': 0.14523999999999845, 'RECALL_TEST_LEN': 0.14523999999999845, 'MAP': 0.07695397619047589, 'MRR': 0.3989565873015898, 'NDCG': 0.16670699683576823, 'F1': 0.14523999999999845, 'HIT_RATE': 1.4524, 'ARHR': 0.5478288888888898, 'NOVELTY': 0.005229194952166443, 'DIVERSITY_MEAN_INTER_LIST': 0.9640468786878689, 'DIVERSITY_HERFINDAHL': 0.9963950474, 'COVERAGE_ITEM': 0.10743881754300945, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17477551848512174, 'SHANNON_ENTROPY': 8.925422112553326} - time: 2018-11-30 08:59:58.172693
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'sgd_mode': 'adam', 'lambda_i': 0.1, 'lambda_j': 1e-09, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.4548681507936475, 'PRECISION': 0.14301999999999904, 'RECALL': 0.14301999999999904, 'RECALL_TEST_LEN': 0.14301999999999904, 'MAP': 0.07520466269841193, 'MRR': 0.39223293650793883, 'NDCG': 0.16382122309729458, 'F1': 0.14301999999999904, 'HIT_RATE': 1.4302, 'ARHR': 0.5372289682539703, 'NOVELTY': 0.00521313094359784, 'DIVERSITY_MEAN_INTER_LIST': 0.961695199519952, 'DIVERSITY_HERFINDAHL': 0.996159903, 'COVERAGE_ITEM': 0.10298037315241096, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.17079673565380998, 'SHANNON_ENTROPY': 8.831151125695495} - time: 2018-11-30 09:02:20.862192
BayesianSearch: New best config found. Config: {'topK': 150, 'sgd_mode': 'adagrad', 'lambda_i': 0.01, 'lambda_j': 1e-06, 'epochs': 0, 'max_epochs': 0} - results: {'ROC_AUC': 0.46373617857142574, 'PRECISION': 0.14949999999999805, 'RECALL': 0.14949999999999805, 'RECALL_TEST_LEN': 0.14949999999999805, 'MAP': 0.08091416269841198, 'MRR': 0.4106229761904803, 'NDCG': 0.17265700521543623, 'F1': 0.14949999999999805, 'HIT_RATE': 1.495, 'ARHR': 0.5699280952380985, 'NOVELTY': 0.005293477329118911, 'DIVERSITY_MEAN_INTER_LIST': 0.9694160216021602, 'DIVERSITY_HERFINDAHL': 0.996931908, 'COVERAGE_ITEM': 0.12100799612309183, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18892448358686947, 'SHANNON_ENTROPY': 9.202493630346764} - time: 2018-11-30 09:03:58.423081
