BayesianSearch: Testing config: {'weights1': 0.10263073845662996, 'weights2': 0.152335096776273, 'weights3': 0.3469351888199641, 'weights4': 0.6207044914034202} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.7774988027864671, 'weights2': 0.7159187325191956, 'weights3': 0.13412509538281525, 'weights4': 0.003626051271387376} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.27885764219832554, 'weights2': 0.2196178470986755, 'weights3': 0.984182388830105, 'weights4': 0.16808441996612955} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3413109423875792, 'weights2': 0.6878711042084658, 'weights3': 0.8976029533686853, 'weights4': 0.8812085681526639} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.9910255482128776, 'weights2': 0.3654615706667802, 'weights3': 0.07062807989768194, 'weights4': 0.1486202994449043} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.34649292998490655, 'weights2': 0.2591966776823238, 'weights3': 0.13676031825711477, 'weights4': 0.46975561675823996} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.05966981373809099, 'weights2': 0.7022777825222043, 'weights3': 0.9354254290389303, 'weights4': 0.41436759067824225} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.4832797348321203, 'weights2': 0.8249698640253372, 'weights3': 0.46515300839001816, 'weights4': 0.4445331164307784} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6302574229800821, 'weights2': 0.20695684963164662, 'weights3': 0.5872034170517271, 'weights4': 0.8676807628696422} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.17046852084158692, 'weights2': 0.7296900393549699, 'weights3': 0.5700396855834983, 'weights4': 0.23930311593677667} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.10795610776362463, 'weights2': 0.5472582461745914, 'weights3': 0.009625730737330418, 'weights4': 0.8934875745221709} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3028465415902617, 'weights2': 0.5036972485128202, 'weights3': 0.8874029363994427, 'weights4': 0.28540515189826354} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.42472351311011936, 'weights2': 0.11255325226479274, 'weights3': 0.9214640166241861, 'weights4': 0.4534687404333332} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6523805761862851, 'weights2': 0.5414727435523066, 'weights3': 0.8065479708678948, 'weights4': 0.37801602311464344} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.06337886137060134, 'weights2': 0.337451507588458, 'weights3': 0.7279468496178131, 'weights4': 0.10119370149216322} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6033354316914399, 'weights2': 0.6888665572741146, 'weights3': 0.6989065101275972, 'weights4': 0.3518090209655593} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0, 'weights2': 9.645437551897617e-11, 'weights3': 1.0, 'weights4': 7.750744294288571e-11, 'weights5': 1.0} - MAP results: 0.04277034330903662 - time: 2018-12-15 00:12:57.768148
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0, 'weights2': 9.9921780068397e-08, 'weights3': 0.0, 'weights4': 0.9999999884212568, 'weights5': 3.083019133747042e-07} - MAP results: 0.05402273548493727 - time: 2018-12-15 00:15:24.868536
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.0, 'weights2': 0.9999999877968133, 'weights3': 0.99999999487714, 'weights4': 0.999999996234277, 'weights5': 1.0} - MAP results: 0.05081592940841766 - time: 2018-12-15 00:17:51.806031
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.006338680887069903, 'weights2': 0.965042617413109, 'weights3': 0.7929346627372265, 'weights4': 0.9631429613990204, 'weights5': 0.02190082279789607} - MAP results: 0.05389784873463947 - time: 2018-12-15 00:20:18.847926
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0, 'weights2': 0.9290071166646217, 'weights3': 0.7949008833254416, 'weights4': 0.0, 'weights5': 1.9882966235681222e-08} - MAP results: 0.0527496728395368 - time: 2018-12-15 00:22:47.082399
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0013733248911672602, 'weights2': 0.6734959131553081, 'weights3': 0.5309733797925078, 'weights4': 0.9846322949934202, 'weights5': 0.8968457334468231} - MAP results: 0.053622839836809794 - time: 2018-12-15 00:25:16.459547
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9960715748862478, 'weights2': 0.956878821694178, 'weights3': 0.06011866517282094, 'weights4': 0.8620001605639832, 'weights5': 0.9464421945939918} - MAP results: 0.05004009819147943 - time: 2018-12-15 00:27:46.292467
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.02719101815732461, 'weights2': 0.48277099994878947, 'weights3': 0.009111736035500861, 'weights4': 0.7076069055663387, 'weights5': 0.9506459184660518} - MAP results: 0.05371534260328912 - time: 2018-12-15 00:30:24.016132
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.34216038352973466, 'weights2': 0.9950621903652009, 'weights3': 0.42629036546213706, 'weights4': 0.5039634353285395, 'weights5': 0.9706238520275571} - MAP results: 0.05568157641047813 - time: 2018-12-15 00:33:10.569386
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.0, 'weights2': 0.0, 'weights3': 3.0512707581594886e-07, 'weights4': 3.6172190705586746e-07, 'weights5': 3.338893068330216e-08} - MAP results: 0.05522216086726686 - time: 2018-12-15 00:35:59.541170
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.37750843045081883, 'weights2': 0.9860272899876041, 'weights3': 0.9961785845753502, 'weights4': 0.6761422005104134, 'weights5': 0.09149117313901689} - MAP results: 0.05492363738094224 - time: 2018-12-15 00:38:42.597388
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.41206390158308515, 'weights2': 0.9440233194355914, 'weights3': 0.9825986459377494, 'weights4': 0.9823836523315809, 'weights5': 0.9762064540348835} - MAP results: 0.05567328130481092 - time: 2018-12-15 00:41:45.794227
