BayesianSearch: Config is suboptimal. Config: {'weights1': 0.997356485797829, 'weights2': 0.05621369062484938, 'weights3': 0.038946835282692494, 'weights4': 0.9658865250709223, 'normalize': True} - results: {'ROC_AUC': 0.2436100793650804, 'PRECISION': 0.07340000000000245, 'RECALL': 0.07340000000000245, 'RECALL_TEST_LEN': 0.07340000000000245, 'MAP': 0.04251019444444472, 'MRR': 0.21808365079364986, 'NDCG': 0.08811407850459219, 'F1': 0.07340000000000245, 'HIT_RATE': 0.734, 'ARHR': 0.29932345238095226, 'NOVELTY': 0.006603996204995036, 'DIVERSITY_MEAN_INTER_LIST': 0.8868572737273727, 'DIVERSITY_HERFINDAHL': 0.9886768588, 'COVERAGE_ITEM': 0.28645505209595346, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21780102841677942, 'SHANNON_ENTROPY': 9.400056169771947} - time: 2018-11-30 13:45:24.143406
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2267714043762965, 'weights2': 0.9723105481253181, 'weights3': 0.030081966609725064, 'weights4': 0.002384947852033137, 'normalize': False} - results: {'ROC_AUC': 0.2800541150793644, 'PRECISION': 0.09256000000000343, 'RECALL': 0.09256000000000343, 'RECALL_TEST_LEN': 0.09256000000000343, 'MAP': 0.05143674206349226, 'MRR': 0.25195638888888827, 'NDCG': 0.10738716139346362, 'F1': 0.09256000000000343, 'HIT_RATE': 0.9256, 'ARHR': 0.3555775793650817, 'NOVELTY': 0.006211142598500019, 'DIVERSITY_MEAN_INTER_LIST': 0.8840918531853186, 'DIVERSITY_HERFINDAHL': 0.9884003444, 'COVERAGE_ITEM': 0.15192633874485098, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18236047831632657, 'SHANNON_ENTROPY': 8.681674315857116} - time: 2018-11-30 13:45:56.963064
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9705928063415329, 'weights2': 0.9697175587744741, 'weights3': 0.7440577399586027, 'weights4': 0.026767865488856346, 'normalize': True} - results: {'ROC_AUC': 0.2869947896825395, 'PRECISION': 0.09639000000000338, 'RECALL': 0.09639000000000338, 'RECALL_TEST_LEN': 0.09639000000000338, 'MAP': 0.05387908333333347, 'MRR': 0.2609686904761911, 'NDCG': 0.11190664191246033, 'F1': 0.09639000000000338, 'HIT_RATE': 0.9639, 'ARHR': 0.3707580555555577, 'NOVELTY': 0.006259198569501858, 'DIVERSITY_MEAN_INTER_LIST': 0.8852620622062206, 'DIVERSITY_HERFINDAHL': 0.9885173536, 'COVERAGE_ITEM': 0.1948630966803974, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18986929388364, 'SHANNON_ENTROPY': 8.934892130176543} - time: 2018-11-30 13:46:27.825109
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9942278901624627, 'weights2': 0.9627816290530535, 'weights3': 0.9472250896566401, 'weights4': 0.3693310936779719, 'normalize': False} - results: {'ROC_AUC': 0.2875632619047622, 'PRECISION': 0.09636000000000335, 'RECALL': 0.09636000000000335, 'RECALL_TEST_LEN': 0.09636000000000335, 'MAP': 0.053810559523809504, 'MRR': 0.2615347222222229, 'NDCG': 0.11194365946128965, 'F1': 0.09636000000000335, 'HIT_RATE': 0.9636, 'ARHR': 0.3710809920634944, 'NOVELTY': 0.006255209003579059, 'DIVERSITY_MEAN_INTER_LIST': 0.8852662806280629, 'DIVERSITY_HERFINDAHL': 0.9885177754, 'COVERAGE_ITEM': 0.19568693966561668, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18941130973013123, 'SHANNON_ENTROPY': 8.936273673997807} - time: 2018-11-30 13:46:58.282827
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.003153856432395963, 'weights2': 0.18700858664261544, 'weights3': 0.08876766867730079, 'weights4': 0.020411739874090618, 'normalize': True} - results: {'ROC_AUC': 0.28425718253968135, 'PRECISION': 0.09385000000000343, 'RECALL': 0.09385000000000343, 'RECALL_TEST_LEN': 0.09385000000000343, 'MAP': 0.051892476190476274, 'MRR': 0.2569922619047621, 'NDCG': 0.10898933065086604, 'F1': 0.09385000000000342, 'HIT_RATE': 0.9385, 'ARHR': 0.36122690476190616, 'NOVELTY': 0.006199372467157638, 'DIVERSITY_MEAN_INTER_LIST': 0.8845056765676567, 'DIVERSITY_HERFINDAHL': 0.9884417226, 'COVERAGE_ITEM': 0.1591955415556094, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1852108155812538, 'SHANNON_ENTROPY': 8.742381380452843} - time: 2018-11-30 13:47:29.108659
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.01673536149464372, 'weights2': 0.8259037155531718, 'weights3': 0.01477276354528112, 'weights4': 0.9952015195662529, 'normalize': False} - results: {'ROC_AUC': 0.28203961507936465, 'PRECISION': 0.09275000000000347, 'RECALL': 0.09275000000000347, 'RECALL_TEST_LEN': 0.09275000000000347, 'MAP': 0.05134957936507961, 'MRR': 0.25303960317460267, 'NDCG': 0.10761938438042998, 'F1': 0.09275000000000345, 'HIT_RATE': 0.9275, 'ARHR': 0.35634698412698584, 'NOVELTY': 0.006189179847163956, 'DIVERSITY_MEAN_INTER_LIST': 0.883815093509351, 'DIVERSITY_HERFINDAHL': 0.9883726712, 'COVERAGE_ITEM': 0.1417979161618609, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18196765971984968, 'SHANNON_ENTROPY': 8.62135723257623} - time: 2018-11-30 13:47:59.938592
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9914493124162844, 'weights2': 0.7115031696530324, 'weights3': 0.0041652650924787205, 'weights4': 0.06626640546773876, 'normalize': False} - results: {'ROC_AUC': 0.2701771031746035, 'PRECISION': 0.08858000000000317, 'RECALL': 0.08858000000000317, 'RECALL_TEST_LEN': 0.08858000000000317, 'MAP': 0.04996119841269851, 'MRR': 0.24100638888888878, 'NDCG': 0.10324438284263014, 'F1': 0.08858000000000318, 'HIT_RATE': 0.8858, 'ARHR': 0.34288599206349346, 'NOVELTY': 0.006374600611730897, 'DIVERSITY_MEAN_INTER_LIST': 0.8855733433343334, 'DIVERSITY_HERFINDAHL': 0.9885484786000001, 'COVERAGE_ITEM': 0.21560455536709475, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.19511223370786518, 'SHANNON_ENTROPY': 9.040130273753173} - time: 2018-11-30 13:48:30.180075
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9867569408720303, 'weights2': 0.9958443612321779, 'weights3': 0.885873821723178, 'weights4': 0.9858704835903933, 'normalize': True} - results: {'ROC_AUC': 0.28837275396825385, 'PRECISION': 0.09664000000000336, 'RECALL': 0.09664000000000336, 'RECALL_TEST_LEN': 0.09664000000000336, 'MAP': 0.05413646428571444, 'MRR': 0.26276202380952457, 'NDCG': 0.1124265833593905, 'F1': 0.09664000000000336, 'HIT_RATE': 0.9664, 'ARHR': 0.3730686111111131, 'NOVELTY': 0.006251548286970904, 'DIVERSITY_MEAN_INTER_LIST': 0.8852004740474048, 'DIVERSITY_HERFINDAHL': 0.9885111954, 'COVERAGE_ITEM': 0.19224618366852436, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1891474798387097, 'SHANNON_ENTROPY': 8.91980420062172} - time: 2018-11-30 13:49:00.679342
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5811910420338859, 'weights2': 0.9734857821037967, 'weights3': 0.9989028756376942, 'weights4': 0.23435456727934867, 'normalize': True} - results: {'ROC_AUC': 0.2867674761904761, 'PRECISION': 0.09570000000000341, 'RECALL': 0.09570000000000341, 'RECALL_TEST_LEN': 0.09570000000000341, 'MAP': 0.05322660714285713, 'MRR': 0.26108226190476214, 'NDCG': 0.11119454666301608, 'F1': 0.09570000000000341, 'HIT_RATE': 0.957, 'ARHR': 0.36873496031746233, 'NOVELTY': 0.00623380146615791, 'DIVERSITY_MEAN_INTER_LIST': 0.8850792739273927, 'DIVERSITY_HERFINDAHL': 0.9884990766, 'COVERAGE_ITEM': 0.18609159195541555, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18739305909919293, 'SHANNON_ENTROPY': 8.884904239160171} - time: 2018-11-30 13:49:31.790395
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9933872685624713, 'weights2': 0.9895245104761327, 'weights3': 0.7318616400865214, 'weights4': 0.5453291421509231, 'normalize': False} - results: {'ROC_AUC': 0.2872256944444443, 'PRECISION': 0.09688000000000338, 'RECALL': 0.09688000000000338, 'RECALL_TEST_LEN': 0.09688000000000338, 'MAP': 0.05422303174603197, 'MRR': 0.2620093253968262, 'NDCG': 0.11248564905747771, 'F1': 0.0968800000000034, 'HIT_RATE': 0.9688, 'ARHR': 0.3727345634920661, 'NOVELTY': 0.0062571943001610165, 'DIVERSITY_MEAN_INTER_LIST': 0.8852236423642365, 'DIVERSITY_HERFINDAHL': 0.988513512, 'COVERAGE_ITEM': 0.19374848558274776, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.18910943735933983, 'SHANNON_ENTROPY': 8.926220532476306} - time: 2018-11-30 13:50:02.645481
