BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 300, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.006766811711982124, 'tversky_beta': 1.9781264780953667} - results: {'ROC_AUC': 0.4877795317460287, 'PRECISION': 0.1603199999999971, 'RECALL': 0.1603199999999971, 'RECALL_TEST_LEN': 0.1603199999999971, 'MAP': 0.08858633730158584, 'MRR': 0.4344890873015885, 'NDCG': 0.18550633769109845, 'F1': 0.1603199999999971, 'HIT_RATE': 1.6032, 'ARHR': 0.6128912698412717, 'NOVELTY': 0.005463377056464788, 'DIVERSITY_MEAN_INTER_LIST': 0.9849811561156115, 'DIVERSITY_HERFINDAHL': 0.9984882658, 'COVERAGE_ITEM': 0.18977465471286648, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23181285167219812, 'SHANNON_ENTROPY': 10.17154094268183} - time: 2018-11-30 11:49:45.051447
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.02833002287830766, 'tversky_beta': 0.03196975451063655} - results: {'ROC_AUC': 0.4820062896825364, 'PRECISION': 0.1622399999999971, 'RECALL': 0.1622399999999971, 'RECALL_TEST_LEN': 0.1622399999999971, 'MAP': 0.09032610317460227, 'MRR': 0.4337541269841292, 'NDCG': 0.1874010590225458, 'F1': 0.1622399999999971, 'HIT_RATE': 1.6224, 'ARHR': 0.6183196825396845, 'NOVELTY': 0.005578568390819275, 'DIVERSITY_MEAN_INTER_LIST': 0.9890349094909491, 'DIVERSITY_HERFINDAHL': 0.9988936006, 'COVERAGE_ITEM': 0.2537436394475406, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2508799159824327, 'SHANNON_ENTROPY': 10.683187953484053} - time: 2018-11-30 11:50:26.571542
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9999999189278554, 'tversky_beta': 0.01197583002391266} - results: {'ROC_AUC': 0.4783235873015842, 'PRECISION': 0.16090999999999706, 'RECALL': 0.16090999999999706, 'RECALL_TEST_LEN': 0.16090999999999706, 'MAP': 0.09105290873015821, 'MRR': 0.4321048809523836, 'NDCG': 0.18666796146854758, 'F1': 0.16090999999999706, 'HIT_RATE': 1.6091, 'ARHR': 0.6178967063492077, 'NOVELTY': 0.00561338291108318, 'DIVERSITY_MEAN_INTER_LIST': 0.9903908210821082, 'DIVERSITY_HERFINDAHL': 0.9990291782, 'COVERAGE_ITEM': 0.2866488975042404, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25834988167680867, 'SHANNON_ENTROPY': 10.89069542530942} - time: 2018-11-30 11:51:08.736036
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6656921369914317, 'tversky_beta': 0.050833159622674096} - results: {'ROC_AUC': 0.47506657936507674, 'PRECISION': 0.15258999999999734, 'RECALL': 0.15258999999999734, 'RECALL_TEST_LEN': 0.15258999999999734, 'MAP': 0.08225015873015767, 'MRR': 0.4187109523809553, 'NDCG': 0.1760913581520319, 'F1': 0.15258999999999734, 'HIT_RATE': 1.5259, 'ARHR': 0.5808493253968271, 'NOVELTY': 0.005360367339896089, 'DIVERSITY_MEAN_INTER_LIST': 0.9783384438443844, 'DIVERSITY_HERFINDAHL': 0.997824061, 'COVERAGE_ITEM': 0.14044099830385268, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20898471886857534, 'SHANNON_ENTROPY': 9.600832944237638} - time: 2018-11-30 11:51:56.959773
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07116907150391287, 'tversky_beta': 0.22228024460302728} - results: {'ROC_AUC': 0.4685358214285693, 'PRECISION': 0.14808999999999842, 'RECALL': 0.14808999999999842, 'RECALL_TEST_LEN': 0.14808999999999842, 'MAP': 0.07914315079365052, 'MRR': 0.4089429365079397, 'NDCG': 0.17090038375407457, 'F1': 0.14808999999999842, 'HIT_RATE': 1.4809, 'ARHR': 0.5636614682539693, 'NOVELTY': 0.005335144855861906, 'DIVERSITY_MEAN_INTER_LIST': 0.9763730773077308, 'DIVERSITY_HERFINDAHL': 0.997627544, 'COVERAGE_ITEM': 0.12866488975042403, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20604212349397588, 'SHANNON_ENTROPY': 9.459752596393821} - time: 2018-11-30 11:52:46.557271
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0005122281007832186, 'tversky_beta': 0.06042787129530791} - results: {'ROC_AUC': 0.4833129880952335, 'PRECISION': 0.16317999999999655, 'RECALL': 0.16317999999999655, 'RECALL_TEST_LEN': 0.16317999999999655, 'MAP': 0.0914288571428563, 'MRR': 0.43524904761904937, 'NDCG': 0.188575645134598, 'F1': 0.16317999999999655, 'HIT_RATE': 1.6318, 'ARHR': 0.6223380555555573, 'NOVELTY': 0.005558684608140515, 'DIVERSITY_MEAN_INTER_LIST': 0.9887805840584057, 'DIVERSITY_HERFINDAHL': 0.9988681706, 'COVERAGE_ITEM': 0.2493336564090138, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24856944811504078, 'SHANNON_ENTROPY': 10.64402711981727} - time: 2018-11-30 11:53:29.782011
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9738840771515684, 'tversky_beta': 1.5677133481670202} - results: {'ROC_AUC': 0.48453818650793373, 'PRECISION': 0.16367999999999705, 'RECALL': 0.16367999999999705, 'RECALL_TEST_LEN': 0.16367999999999705, 'MAP': 0.09237929365079244, 'MRR': 0.43335587301587575, 'NDCG': 0.18908341617435218, 'F1': 0.16367999999999705, 'HIT_RATE': 1.6368, 'ARHR': 0.623614642857142, 'NOVELTY': 0.005601108007939213, 'DIVERSITY_MEAN_INTER_LIST': 0.9897092149214922, 'DIVERSITY_HERFINDAHL': 0.9989610244, 'COVERAGE_ITEM': 0.2767627816816089, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25164697478991593, 'SHANNON_ENTROPY': 10.799421997437111} - time: 2018-11-30 11:54:11.879140
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.22679361979077162, 'tversky_beta': 1.9955048501892307} - results: {'ROC_AUC': 0.46109493253967976, 'PRECISION': 0.15468999999999725, 'RECALL': 0.15468999999999725, 'RECALL_TEST_LEN': 0.15468999999999725, 'MAP': 0.08768299206349123, 'MRR': 0.41201682539682816, 'NDCG': 0.17910510308369995, 'F1': 0.15468999999999725, 'HIT_RATE': 1.5469, 'ARHR': 0.5916991666666681, 'NOVELTY': 0.005678423800121598, 'DIVERSITY_MEAN_INTER_LIST': 0.9911051585158516, 'DIVERSITY_HERFINDAHL': 0.9991006048, 'COVERAGE_ITEM': 0.31509571117034163, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25761968014762415, 'SHANNON_ENTROPY': 11.017071592288453} - time: 2018-11-30 11:54:55.962744
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 50, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9593802333338683, 'tversky_beta': 0.016325855551550417} - results: {'ROC_AUC': 0.48653313095237816, 'PRECISION': 0.164639999999997, 'RECALL': 0.164639999999997, 'RECALL_TEST_LEN': 0.164639999999997, 'MAP': 0.09233932142857058, 'MRR': 0.4392437301587321, 'NDCG': 0.190253440053761, 'F1': 0.164639999999997, 'HIT_RATE': 1.6464, 'ARHR': 0.6279314285714293, 'NOVELTY': 0.005573889066541399, 'DIVERSITY_MEAN_INTER_LIST': 0.9891681808180819, 'DIVERSITY_HERFINDAHL': 0.9989069264, 'COVERAGE_ITEM': 0.2546159437848316, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25259817316841104, 'SHANNON_ENTROPY': 10.697020184419724} - time: 2018-11-30 11:55:37.642107
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 100, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9965983504610534, 'tversky_beta': 1.9804233717806827} - results: {'ROC_AUC': 0.48595423015872474, 'PRECISION': 0.1648099999999967, 'RECALL': 0.1648099999999967, 'RECALL_TEST_LEN': 0.1648099999999967, 'MAP': 0.09224225793650666, 'MRR': 0.43582103174603426, 'NDCG': 0.18994847385436298, 'F1': 0.1648099999999967, 'HIT_RATE': 1.6481, 'ARHR': 0.6255082936507952, 'NOVELTY': 0.005567712373724582, 'DIVERSITY_MEAN_INTER_LIST': 0.9889985098509851, 'DIVERSITY_HERFINDAHL': 0.998889961, 'COVERAGE_ITEM': 0.2536951780954689, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24957406799083268, 'SHANNON_ENTROPY': 10.674703154371418} - time: 2018-11-30 11:56:20.654670
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 200, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.34828286382876783, 'tversky_beta': 0.010058665597083127} - results: {'ROC_AUC': 0.4832644404761857, 'PRECISION': 0.16333999999999668, 'RECALL': 0.16333999999999668, 'RECALL_TEST_LEN': 0.16333999999999668, 'MAP': 0.09150204365079292, 'MRR': 0.43556551587301773, 'NDCG': 0.188753110525012, 'F1': 0.16333999999999668, 'HIT_RATE': 1.6334, 'ARHR': 0.6229185317460341, 'NOVELTY': 0.00555946801932093, 'DIVERSITY_MEAN_INTER_LIST': 0.9888011921192119, 'DIVERSITY_HERFINDAHL': 0.9988702312, 'COVERAGE_ITEM': 0.24947904046522898, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.248755839968926, 'SHANNON_ENTROPY': 10.646306424494405} - time: 2018-11-30 11:57:02.894583
