BayesianSearch: Testing config: {'topK': 200, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7036023186976204} - Exception too many indices for array
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0066097414123509335} - results: {'ROC_AUC': 0.47140409920634685, 'PRECISION': 0.14938999999999808, 'RECALL': 0.14938999999999808, 'RECALL_TEST_LEN': 0.14938999999999808, 'MAP': 0.08002568253968191, 'MRR': 0.412936309523813, 'NDCG': 0.1725399710126221, 'F1': 0.14938999999999808, 'HIT_RATE': 1.4939, 'ARHR': 0.5694544841269842, 'NOVELTY': 0.005345715460635376, 'DIVERSITY_MEAN_INTER_LIST': 0.9774924252425242, 'DIVERSITY_HERFINDAHL': 0.9977394676, 'COVERAGE_ITEM': 0.13079718924157985, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21000783703703704, 'SHANNON_ENTROPY': 9.517461862820404} - time: 2018-11-30 11:10:09.403448
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 200, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.00510465355629286} - results: {'ROC_AUC': 0.48862953571428264, 'PRECISION': 0.16017999999999702, 'RECALL': 0.16017999999999702, 'RECALL_TEST_LEN': 0.16017999999999702, 'MAP': 0.08850642460317333, 'MRR': 0.4346532936507947, 'NDCG': 0.18543014781698586, 'F1': 0.16017999999999702, 'HIT_RATE': 1.6018, 'ARHR': 0.6128185714285711, 'NOVELTY': 0.0054644032484986935, 'DIVERSITY_MEAN_INTER_LIST': 0.9850208060806082, 'DIVERSITY_HERFINDAHL': 0.9984922304, 'COVERAGE_ITEM': 0.19045311364187062, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23201988806919357, 'SHANNON_ENTROPY': 10.176969117977588} - time: 2018-11-30 11:11:08.713263
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9597224071997217} - results: {'ROC_AUC': 0.46618834523809266, 'PRECISION': 0.14562999999999898, 'RECALL': 0.14562999999999898, 'RECALL_TEST_LEN': 0.14562999999999898, 'MAP': 0.07775695238095177, 'MRR': 0.403509841269844, 'NDCG': 0.16820825242251158, 'F1': 0.14562999999999898, 'HIT_RATE': 1.4563, 'ARHR': 0.5549769841269865, 'NOVELTY': 0.005318231275402482, 'DIVERSITY_MEAN_INTER_LIST': 0.9750558115811581, 'DIVERSITY_HERFINDAHL': 0.9974958306, 'COVERAGE_ITEM': 0.12430336806396898, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20146643803585348, 'SHANNON_ENTROPY': 9.375979712003923} - time: 2018-11-30 11:13:07.419534
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.004657679903965706} - results: {'ROC_AUC': 0.4839045595238049, 'PRECISION': 0.16377999999999693, 'RECALL': 0.16377999999999693, 'RECALL_TEST_LEN': 0.16377999999999693, 'MAP': 0.09167663888888779, 'MRR': 0.4355048015873043, 'NDCG': 0.18906709246858955, 'F1': 0.16377999999999693, 'HIT_RATE': 1.6378, 'ARHR': 0.6234517460317492, 'NOVELTY': 0.0055592621379452235, 'DIVERSITY_MEAN_INTER_LIST': 0.988792505250525, 'DIVERSITY_HERFINDAHL': 0.9988693626, 'COVERAGE_ITEM': 0.24967288587351588, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24785768678439743, 'SHANNON_ENTROPY': 10.64335304010927} - time: 2018-11-30 11:14:55.166238
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9348764290760323} - results: {'ROC_AUC': 0.4840072420634888, 'PRECISION': 0.1639599999999969, 'RECALL': 0.1639599999999969, 'RECALL_TEST_LEN': 0.1639599999999969, 'MAP': 0.09184228968253873, 'MRR': 0.43688615079365206, 'NDCG': 0.18939908514246345, 'F1': 0.1639599999999969, 'HIT_RATE': 1.6396, 'ARHR': 0.624922023809525, 'NOVELTY': 0.005563139217611741, 'DIVERSITY_MEAN_INTER_LIST': 0.9888945694569456, 'DIVERSITY_HERFINDAHL': 0.998879568, 'COVERAGE_ITEM': 0.2506421129149503, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2498501101875121, 'SHANNON_ENTROPY': 10.659219672031409} - time: 2018-11-30 11:16:27.087898
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.012552271375207757} - results: {'ROC_AUC': 0.4269213650793627, 'PRECISION': 0.14390999999999893, 'RECALL': 0.14390999999999893, 'RECALL_TEST_LEN': 0.14390999999999893, 'MAP': 0.08196899206349144, 'MRR': 0.38134261904762085, 'NDCG': 0.16656188385412096, 'F1': 0.14390999999999893, 'HIT_RATE': 1.4391, 'ARHR': 0.5501163492063501, 'NOVELTY': 0.0058819129408601645, 'DIVERSITY_MEAN_INTER_LIST': 0.9941406920692069, 'DIVERSITY_HERFINDAHL': 0.9994041278, 'COVERAGE_ITEM': 0.4206445359825539, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2959394931459509, 'SHANNON_ENTROPY': 11.628991786465981} - time: 2018-11-30 11:17:41.220185
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9635724829948475} - results: {'ROC_AUC': 0.48542820634920425, 'PRECISION': 0.15805999999999729, 'RECALL': 0.15805999999999729, 'RECALL_TEST_LEN': 0.15805999999999729, 'MAP': 0.08719614682539582, 'MRR': 0.4309763095238116, 'NDCG': 0.18316506348997355, 'F1': 0.15805999999999729, 'HIT_RATE': 1.5806, 'ARHR': 0.6058639682539709, 'NOVELTY': 0.005465356183216513, 'DIVERSITY_MEAN_INTER_LIST': 0.9851371577157716, 'DIVERSITY_HERFINDAHL': 0.9985038644, 'COVERAGE_ITEM': 0.19156772473952025, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23063001011633788, 'SHANNON_ENTROPY': 10.177563042484534} - time: 2018-11-30 11:19:02.657681
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0036918023071763617} - results: {'ROC_AUC': 0.4885737817460287, 'PRECISION': 0.15989999999999713, 'RECALL': 0.15989999999999713, 'RECALL_TEST_LEN': 0.15989999999999713, 'MAP': 0.08842692857142716, 'MRR': 0.4344463888888899, 'NDCG': 0.18521007041335105, 'F1': 0.15989999999999713, 'HIT_RATE': 1.599, 'ARHR': 0.6123465873015866, 'NOVELTY': 0.005464139820815084, 'DIVERSITY_MEAN_INTER_LIST': 0.9849997459745974, 'DIVERSITY_HERFINDAHL': 0.9984901246, 'COVERAGE_ITEM': 0.19030772958565545, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2320776680244399, 'SHANNON_ENTROPY': 10.175843130968197} - time: 2018-11-30 11:20:26.591036
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.021632510583230014} - results: {'ROC_AUC': 0.48508861111110735, 'PRECISION': 0.16366999999999704, 'RECALL': 0.16366999999999704, 'RECALL_TEST_LEN': 0.16366999999999704, 'MAP': 0.09193251984126877, 'MRR': 0.43571940476190685, 'NDCG': 0.18920004784688355, 'F1': 0.16366999999999704, 'HIT_RATE': 1.6367, 'ARHR': 0.6244416269841264, 'NOVELTY': 0.0055719634417542305, 'DIVERSITY_MEAN_INTER_LIST': 0.9891479547954796, 'DIVERSITY_HERFINDAHL': 0.998904904, 'COVERAGE_ITEM': 0.2556336321783378, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2509560879454132, 'SHANNON_ENTROPY': 10.694774384794115} - time: 2018-11-30 11:21:41.983643
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 100, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9826058890000957} - results: {'ROC_AUC': 0.47758911904761625, 'PRECISION': 0.15984999999999702, 'RECALL': 0.15984999999999702, 'RECALL_TEST_LEN': 0.15984999999999702, 'MAP': 0.08913621825396752, 'MRR': 0.42854448412698704, 'NDCG': 0.18467218713462352, 'F1': 0.15984999999999702, 'HIT_RATE': 1.5985, 'ARHR': 0.6094910714285724, 'NOVELTY': 0.005593275198796894, 'DIVERSITY_MEAN_INTER_LIST': 0.9897939233923393, 'DIVERSITY_HERFINDAHL': 0.9989694944, 'COVERAGE_ITEM': 0.2629028349890962, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25554058238112787, 'SHANNON_ENTROPY': 10.764899106820067} - time: 2018-11-30 11:23:03.894438
