BayesianSearch: Testing config: {'pop1': 197.4231750886533, 'pop2': 522.8761647131797, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 251.46647692419245, 'pop2': 383.8110351399888, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 255.06194573881683, 'pop2': 382.50420770715664, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 189.13137625662037, 'pop2': 543.1177639941567, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 141.6611761876562, 'pop2': 520.5490096186641, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 233.06729366498865, 'pop2': 520.5325596181008, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 217.898418042851, 'pop2': 429.56170717457655, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'pop1': 162.65214724455143, 'pop2': 314.787432561556, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: Config is suboptimal. Config: {'pop1': 101.44316840709149, 'pop2': 595.1226885607911, 'normalize': False} - results: {'ROC_AUC': 0.5060321468253938, 'PRECISION': 0.17822999999999603, 'RECALL': 0.17822999999999603, 'RECALL_TEST_LEN': 0.17822999999999603, 'MAP': 0.10369405158730047, 'MRR': 0.46707924603174644, 'NDCG': 0.20672229329422118, 'F1': 0.17822999999999603, 'HIT_RATE': 1.7823, 'ARHR': 0.6840722222222214, 'NOVELTY': 0.005656732046383741, 'DIVERSITY_MEAN_INTER_LIST': 0.9889838323832384, 'DIVERSITY_HERFINDAHL': 0.9988884934, 'COVERAGE_ITEM': 0.2596559244002908, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25806593767493935, 'SHANNON_ENTROPY': 10.73991358080741} - time: 2018-11-30 16:09:01.498690
BayesianSearch: Config is suboptimal. Config: {'pop1': 141.12888306937774, 'pop2': 357.09079385704626, 'normalize': False} - results: {'ROC_AUC': 0.5080099126984088, 'PRECISION': 0.17809999999999598, 'RECALL': 0.17809999999999598, 'RECALL_TEST_LEN': 0.17809999999999598, 'MAP': 0.10406351587301484, 'MRR': 0.47039603174603273, 'NDCG': 0.20728593029975892, 'F1': 0.178099999999996, 'HIT_RATE': 1.781, 'ARHR': 0.6877020238095237, 'NOVELTY': 0.005630650211857346, 'DIVERSITY_MEAN_INTER_LIST': 0.9882013121312132, 'DIVERSITY_HERFINDAHL': 0.9988102492, 'COVERAGE_ITEM': 0.2570390113884177, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2511800113100848, 'SHANNON_ENTROPY': 10.672570779293261} - time: 2018-11-30 16:09:26.605741
BayesianSearch: Config is suboptimal. Config: {'pop1': 298.8965399589423, 'pop2': 599.9049590868544, 'normalize': False} - results: {'ROC_AUC': 0.5033276706349175, 'PRECISION': 0.17631999999999604, 'RECALL': 0.17631999999999604, 'RECALL_TEST_LEN': 0.17631999999999604, 'MAP': 0.10297580952380832, 'MRR': 0.46309325396825407, 'NDCG': 0.20486755028814077, 'F1': 0.17631999999999604, 'HIT_RATE': 1.7632, 'ARHR': 0.6787305952380966, 'NOVELTY': 0.005689280479648574, 'DIVERSITY_MEAN_INTER_LIST': 0.9891936593659366, 'DIVERSITY_HERFINDAHL': 0.998909474, 'COVERAGE_ITEM': 0.2660528228737582, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2589423565835003, 'SHANNON_ENTROPY': 10.776944241970494} - time: 2018-11-30 16:09:51.122207
BayesianSearch: Config is suboptimal. Config: {'pop1': 100.18382612394407, 'pop2': 345.19762109464443, 'normalize': False} - results: {'ROC_AUC': 0.5079610595238059, 'PRECISION': 0.17827999999999586, 'RECALL': 0.17827999999999586, 'RECALL_TEST_LEN': 0.17827999999999586, 'MAP': 0.10414059126984018, 'MRR': 0.47052960317460446, 'NDCG': 0.2074389253370464, 'F1': 0.17827999999999586, 'HIT_RATE': 1.7828, 'ARHR': 0.6880820634920632, 'NOVELTY': 0.005627056180767695, 'DIVERSITY_MEAN_INTER_LIST': 0.9881467066706671, 'DIVERSITY_HERFINDAHL': 0.9988047892, 'COVERAGE_ITEM': 0.25602132299491154, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25072161998486, 'SHANNON_ENTROPY': 10.66463378524691} - time: 2018-11-30 16:10:15.865417
BayesianSearch: Config is suboptimal. Config: {'pop1': 299.83077700626404, 'pop2': 526.1454704142508, 'normalize': True} - results: {'ROC_AUC': 0.5042035277777743, 'PRECISION': 0.17606999999999615, 'RECALL': 0.17606999999999615, 'RECALL_TEST_LEN': 0.17606999999999615, 'MAP': 0.10296235714285597, 'MRR': 0.46354849206349225, 'NDCG': 0.20482248343229295, 'F1': 0.17606999999999615, 'HIT_RATE': 1.7607, 'ARHR': 0.6791231349206353, 'NOVELTY': 0.005685652670096852, 'DIVERSITY_MEAN_INTER_LIST': 0.989076091609161, 'DIVERSITY_HERFINDAHL': 0.9988977184, 'COVERAGE_ITEM': 0.2656651320571844, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2583590151376983, 'SHANNON_ENTROPY': 10.768711034460582} - time: 2018-11-30 16:10:40.938626
BayesianSearch: Config is suboptimal. Config: {'pop1': 165.88860395381542, 'pop2': 319.17454123811814, 'normalize': True} - results: {'ROC_AUC': 0.5081200198412663, 'PRECISION': 0.17820999999999595, 'RECALL': 0.17820999999999595, 'RECALL_TEST_LEN': 0.17820999999999595, 'MAP': 0.10402340873015749, 'MRR': 0.4702519841269854, 'NDCG': 0.2073616105183959, 'F1': 0.17820999999999595, 'HIT_RATE': 1.7821, 'ARHR': 0.6877982142857136, 'NOVELTY': 0.005628107602383737, 'DIVERSITY_MEAN_INTER_LIST': 0.9880953555355535, 'DIVERSITY_HERFINDAHL': 0.9987996546, 'COVERAGE_ITEM': 0.25621516840319847, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25001267397882, 'SHANNON_ENTROPY': 10.660400052799606} - time: 2018-11-30 16:11:04.576437
BayesianSearch: Config is suboptimal. Config: {'pop1': 101.33835932839507, 'pop2': 492.0139145481463, 'normalize': True} - results: {'ROC_AUC': 0.5068670634920607, 'PRECISION': 0.17802999999999616, 'RECALL': 0.17802999999999616, 'RECALL_TEST_LEN': 0.17802999999999616, 'MAP': 0.10376240873015773, 'MRR': 0.4682062301587314, 'NDCG': 0.20682556851357223, 'F1': 0.17802999999999616, 'HIT_RATE': 1.7803, 'ARHR': 0.6852074603174587, 'NOVELTY': 0.0056504838532767665, 'DIVERSITY_MEAN_INTER_LIST': 0.9887908670867086, 'DIVERSITY_HERFINDAHL': 0.9988691988, 'COVERAGE_ITEM': 0.2593166949357887, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2568422159940209, 'SHANNON_ENTROPY': 10.726451110712652} - time: 2018-11-30 16:11:28.636147
BayesianSearch: Config is suboptimal. Config: {'pop1': 121.13226782250149, 'pop2': 348.3368078489649, 'normalize': True} - results: {'ROC_AUC': 0.5081801984126949, 'PRECISION': 0.17826999999999588, 'RECALL': 0.17826999999999588, 'RECALL_TEST_LEN': 0.17826999999999588, 'MAP': 0.10420116666666558, 'MRR': 0.47079607142857266, 'NDCG': 0.20749390191212297, 'F1': 0.1782699999999959, 'HIT_RATE': 1.7827, 'ARHR': 0.6884289285714282, 'NOVELTY': 0.005628468326008186, 'DIVERSITY_MEAN_INTER_LIST': 0.9881688108810882, 'DIVERSITY_HERFINDAHL': 0.9988069994, 'COVERAGE_ITEM': 0.256651320571844, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25074803473664337, 'SHANNON_ENTROPY': 10.668005733285305} - time: 2018-11-30 16:11:51.703902
BayesianSearch: Config is suboptimal. Config: {'pop1': 122.55237906244449, 'pop2': 338.99618892514366, 'normalize': False} - results: {'ROC_AUC': 0.5080561269841232, 'PRECISION': 0.17851999999999582, 'RECALL': 0.17851999999999582, 'RECALL_TEST_LEN': 0.17851999999999582, 'MAP': 0.1041649166666655, 'MRR': 0.470609801587303, 'NDCG': 0.20756965613886713, 'F1': 0.17851999999999585, 'HIT_RATE': 1.7852, 'ARHR': 0.6881764682539678, 'NOVELTY': 0.005626713072135723, 'DIVERSITY_MEAN_INTER_LIST': 0.9881221482148215, 'DIVERSITY_HERFINDAHL': 0.9988023336, 'COVERAGE_ITEM': 0.25640901381148534, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.25002761904761905, 'SHANNON_ENTROPY': 10.662328137693585} - time: 2018-11-30 16:12:17.415470
BayesianSearch: Config is suboptimal. Config: {'pop1': 114.86196308316666, 'pop2': 354.1055748516837, 'normalize': False} - results: {'ROC_AUC': 0.5084882222222183, 'PRECISION': 0.1781899999999959, 'RECALL': 0.1781899999999959, 'RECALL_TEST_LEN': 0.1781899999999959, 'MAP': 0.10415823809523708, 'MRR': 0.47073801587301706, 'NDCG': 0.20741367760002613, 'F1': 0.1781899999999959, 'HIT_RATE': 1.7819, 'ARHR': 0.6881838888888883, 'NOVELTY': 0.005629034852631593, 'DIVERSITY_MEAN_INTER_LIST': 0.9881800740074007, 'DIVERSITY_HERFINDAHL': 0.9988081256, 'COVERAGE_ITEM': 0.2566997819239157, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2509900906002265, 'SHANNON_ENTROPY': 10.669603678610928} - time: 2018-11-30 16:12:42.617891
