BayesianSearch: Testing config: {'topK': 150, 'shrink': 50, 'similarity': 'dice', 'normalize': True} - Exception too many indices for array
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.4688259801587282, 'PRECISION': 0.14818999999999843, 'RECALL': 0.14818999999999843, 'RECALL_TEST_LEN': 0.14818999999999843, 'MAP': 0.07921367063492027, 'MRR': 0.4090727380952414, 'NDCG': 0.17101107008978725, 'F1': 0.14818999999999843, 'HIT_RATE': 1.4819, 'ARHR': 0.563991825396827, 'NOVELTY': 0.005335660692553323, 'DIVERSITY_MEAN_INTER_LIST': 0.9764111671167116, 'DIVERSITY_HERFINDAHL': 0.9976313526, 'COVERAGE_ITEM': 0.1292464259752847, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2056594227886057, 'SHANNON_ENTROPY': 9.463107337774158} - time: 2018-11-30 11:07:51.502435
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.47993674999999664, 'PRECISION': 0.16272999999999713, 'RECALL': 0.16272999999999713, 'RECALL_TEST_LEN': 0.16272999999999713, 'MAP': 0.09176903968253845, 'MRR': 0.43117015873016207, 'NDCG': 0.18797515331059694, 'F1': 0.16272999999999713, 'HIT_RATE': 1.6273, 'ARHR': 0.6200152777777794, 'NOVELTY': 0.005607336999312179, 'DIVERSITY_MEAN_INTER_LIST': 0.9899125152515252, 'DIVERSITY_HERFINDAHL': 0.9989813524, 'COVERAGE_ITEM': 0.2796220014538406, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2534944342401664, 'SHANNON_ENTROPY': 10.826150249696816} - time: 2018-11-30 11:08:37.228861
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.47993674999999664, 'PRECISION': 0.16272999999999713, 'RECALL': 0.16272999999999713, 'RECALL_TEST_LEN': 0.16272999999999713, 'MAP': 0.09176903968253845, 'MRR': 0.43117015873016207, 'NDCG': 0.18797515331059694, 'F1': 0.16272999999999713, 'HIT_RATE': 1.6273, 'ARHR': 0.6200152777777794, 'NOVELTY': 0.005607336999312179, 'DIVERSITY_MEAN_INTER_LIST': 0.9899125152515252, 'DIVERSITY_HERFINDAHL': 0.9989813524, 'COVERAGE_ITEM': 0.2796220014538406, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2534944342401664, 'SHANNON_ENTROPY': 10.826150249696816} - time: 2018-11-30 11:09:24.346884
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4827906944444401, 'PRECISION': 0.16331999999999672, 'RECALL': 0.16331999999999672, 'RECALL_TEST_LEN': 0.16331999999999672, 'MAP': 0.0915368333333325, 'MRR': 0.4357680158730175, 'NDCG': 0.18876328513324261, 'F1': 0.16331999999999672, 'HIT_RATE': 1.6332, 'ARHR': 0.6230753174603189, 'NOVELTY': 0.0055589105971664615, 'DIVERSITY_MEAN_INTER_LIST': 0.9887790079007901, 'DIVERSITY_HERFINDAHL': 0.998868013, 'COVERAGE_ITEM': 0.24943057911315725, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2484879526029526, 'SHANNON_ENTROPY': 10.644116623617744} - time: 2018-11-30 11:10:11.144855
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'shrink': 100, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4696728055555539, 'PRECISION': 0.14889999999999834, 'RECALL': 0.14889999999999834, 'RECALL_TEST_LEN': 0.14889999999999834, 'MAP': 0.07974288888888847, 'MRR': 0.41101043650794056, 'NDCG': 0.17192965585142375, 'F1': 0.14889999999999834, 'HIT_RATE': 1.489, 'ARHR': 0.5672876587301618, 'NOVELTY': 0.005338753807824379, 'DIVERSITY_MEAN_INTER_LIST': 0.9767686748674868, 'DIVERSITY_HERFINDAHL': 0.9976670998, 'COVERAGE_ITEM': 0.1296341167918585, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2073640284005979, 'SHANNON_ENTROPY': 9.481191594395145} - time: 2018-11-30 11:11:09.591725
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'shrink': 200, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.47613516666666483, 'PRECISION': 0.15285999999999728, 'RECALL': 0.15285999999999728, 'RECALL_TEST_LEN': 0.15285999999999728, 'MAP': 0.0825336468253963, 'MRR': 0.4196329761904798, 'NDCG': 0.1765794111892581, 'F1': 0.15285999999999728, 'HIT_RATE': 1.5286, 'ARHR': 0.5828307936507975, 'NOVELTY': 0.005373698224102434, 'DIVERSITY_MEAN_INTER_LIST': 0.9796300250025003, 'DIVERSITY_HERFINDAHL': 0.9979532062, 'COVERAGE_ITEM': 0.14426944511751877, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21516250503693757, 'SHANNON_ENTROPY': 9.684963932559876} - time: 2018-11-30 11:12:54.185499
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 300, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.48345011507936053, 'PRECISION': 0.16337999999999692, 'RECALL': 0.16337999999999692, 'RECALL_TEST_LEN': 0.16337999999999692, 'MAP': 0.09161074603174531, 'MRR': 0.4357284523809543, 'NDCG': 0.18885016207545996, 'F1': 0.16337999999999692, 'HIT_RATE': 1.6338, 'ARHR': 0.6233685317460322, 'NOVELTY': 0.005560017756166877, 'DIVERSITY_MEAN_INTER_LIST': 0.9888141794179418, 'DIVERSITY_HERFINDAHL': 0.9988715298, 'COVERAGE_ITEM': 0.24996365398594622, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2486297344446598, 'SHANNON_ENTROPY': 10.648121704228076} - time: 2018-11-30 11:14:19.012925
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 100, 'similarity': 'dice', 'normalize': True} - results: {'ROC_AUC': 0.48475512698412393, 'PRECISION': 0.16415999999999698, 'RECALL': 0.16415999999999698, 'RECALL_TEST_LEN': 0.16415999999999698, 'MAP': 0.09197169444444381, 'MRR': 0.4369106349206365, 'NDCG': 0.18955395079925658, 'F1': 0.16415999999999698, 'HIT_RATE': 1.6416, 'ARHR': 0.6252330158730185, 'NOVELTY': 0.0055619915705598325, 'DIVERSITY_MEAN_INTER_LIST': 0.988872105210521, 'DIVERSITY_HERFINDAHL': 0.9988773218, 'COVERAGE_ITEM': 0.25083595832323724, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2486578172686884, 'SHANNON_ENTROPY': 10.65420115857185} - time: 2018-11-30 11:15:50.553752
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.47823447619047277, 'PRECISION': 0.1618999999999972, 'RECALL': 0.1618999999999972, 'RECALL_TEST_LEN': 0.1618999999999972, 'MAP': 0.09147406746031654, 'MRR': 0.43107380952381125, 'NDCG': 0.18733663118705154, 'F1': 0.1618999999999972, 'HIT_RATE': 1.619, 'ARHR': 0.6187905952380982, 'NOVELTY': 0.005618534796760879, 'DIVERSITY_MEAN_INTER_LIST': 0.9904878107810782, 'DIVERSITY_HERFINDAHL': 0.9990388762, 'COVERAGE_ITEM': 0.2885873515871093, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2602280893216924, 'SHANNON_ENTROPY': 10.909832290411096} - time: 2018-11-30 11:16:59.314608
BayesianSearch: Config is suboptimal. Config: {'topK': 700, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: {'ROC_AUC': 0.4773454920634885, 'PRECISION': 0.15381999999999735, 'RECALL': 0.15381999999999735, 'RECALL_TEST_LEN': 0.15381999999999735, 'MAP': 0.08328125793650742, 'MRR': 0.4220973809523829, 'NDCG': 0.17782486865073444, 'F1': 0.15381999999999735, 'HIT_RATE': 1.5382, 'ARHR': 0.5873390476190489, 'NOVELTY': 0.005388232202262834, 'DIVERSITY_MEAN_INTER_LIST': 0.9804664226422641, 'DIVERSITY_HERFINDAHL': 0.9980368376, 'COVERAGE_ITEM': 0.14630482190453115, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22014952980132452, 'SHANNON_ENTROPY': 9.742153393590378} - time: 2018-11-30 11:18:12.892437
