BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.0, 'weights3': 1.0, 'weights4': 0.5, 'weights5': 0.0, 'normalize': True} - MAP results: 0.034354555555555666 - time: 2018-11-30 17:39:50.576555
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.9, 'weights3': 1.0, 'weights4': 0.0, 'weights5': 0.0, 'normalize': True} - MAP results: 0.03679384523809531 - time: 2018-11-30 17:40:17.163970
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.0, 'weights3': 0.0, 'weights4': 1.0, 'weights5': 1.0, 'normalize': True} - MAP results: 0.032880583333333366 - time: 2018-11-30 17:40:42.586076
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.9, 'weights3': 0.1, 'weights4': 1.0, 'weights5': 0.0, 'normalize': False} - MAP results: 0.03527244444444455 - time: 2018-11-30 17:41:08.937609
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.0, 'weights3': 0.0, 'weights4': 0.1, 'weights5': 0.9, 'normalize': False} - MAP results: 0.037007329365079514 - time: 2018-11-30 17:41:37.809816
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.5, 'weights4': 0.0, 'weights5': 0.2, 'normalize': True} - MAP results: 0.03677023015873026 - time: 2018-11-30 17:42:05.111488
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 1.0, 'weights4': 0.9, 'weights5': 1.0, 'normalize': False} - MAP results: 0.03762976190476212 - time: 2018-11-30 17:42:30.814686
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.0, 'weights3': 0.9, 'weights4': 0.0, 'weights5': 1.0, 'normalize': False} - MAP results: 0.03742517460317474 - time: 2018-11-30 17:42:57.190771
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 1.0, 'weights3': 0.0, 'weights4': 0.6000000000000001, 'weights5': 1.0, 'normalize': True} - MAP results: 0.036104511904762084 - time: 2018-11-30 17:43:23.716735
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.2, 'weights3': 0.4, 'weights4': 1.0, 'weights5': 0.0, 'normalize': True} - MAP results: 0.037623416666666784 - time: 2018-11-30 17:43:51.066355
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.6000000000000001, 'weights3': 1.0, 'weights4': 0.6000000000000001, 'weights5': 1.0, 'normalize': True} - MAP results: 0.037833488095238246 - time: 2018-11-30 17:44:17.926392
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.4, 'weights3': 0.4, 'weights4': 0.6000000000000001, 'weights5': 0.1, 'normalize': True} - MAP results: 0.03723445634920644 - time: 2018-11-30 17:44:42.498162
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.0, 'weights3': 0.0, 'weights4': 1.0, 'weights5': 0.1, 'normalize': True} - MAP results: 0.03669194841269859 - time: 2018-11-30 17:45:32.810606
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.30000000000000004, 'weights3': 1.0, 'weights4': 0.0, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.0369821071428572 - time: 2018-11-30 17:46:30.575436
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.0, 'weights3': 0.0, 'weights4': 0.0, 'weights5': 0.0, 'normalize': False} - MAP results: 0.036291797619047744 - time: 2018-11-30 17:46:52.506136
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 1.0, 'weights3': 0.7000000000000001, 'weights4': 0.0, 'weights5': 0.8, 'normalize': True} - MAP results: 0.03711348809523824 - time: 2018-11-30 17:47:13.749568
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.4, 'weights3': 1.0, 'weights4': 0.4, 'weights5': 0.7000000000000001, 'normalize': False} - MAP results: 0.03770588492063505 - time: 2018-11-30 17:47:35.998279
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 1.0, 'weights4': 1.0, 'weights5': 0.2, 'normalize': False} - MAP results: 0.037273583333333485 - time: 2018-11-30 17:48:01.378587
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.30000000000000004, 'weights3': 0.0, 'weights4': 1.0, 'weights5': 0.1, 'normalize': False} - MAP results: 0.036995301587301736 - time: 2018-11-30 17:48:27.458876
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.6000000000000001, 'weights3': 0.7000000000000001, 'weights4': 0.0, 'weights5': 0.8, 'normalize': False} - MAP results: 0.037660575396825664 - time: 2018-11-30 17:48:53.498274
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.4, 'weights3': 0.1, 'weights4': 1.0, 'weights5': 0.30000000000000004, 'normalize': True} - MAP results: 0.036843948412698474 - time: 2018-11-30 17:49:17.582364
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.5, 'weights3': 0.9, 'weights4': 0.2, 'weights5': 0.5, 'normalize': True} - MAP results: 0.03787863888888899 - time: 2018-11-30 17:49:41.872192
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 0.0, 'weights4': 0.6000000000000001, 'weights5': 0.7000000000000001, 'normalize': False} - MAP results: 0.037042396825396964 - time: 2018-11-30 17:50:05.834381
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.30000000000000004, 'weights3': 0.7000000000000001, 'weights4': 0.0, 'weights5': 0.0, 'normalize': True} - MAP results: 0.03639921428571438 - time: 2018-11-30 17:50:30.872764
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.0, 'weights3': 0.7000000000000001, 'weights4': 0.8, 'weights5': 0.4, 'normalize': True} - MAP results: 0.03738524603174614 - time: 2018-11-30 17:50:55.435034
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 0.7000000000000001, 'weights4': 0.6000000000000001, 'weights5': 1.0, 'normalize': False} - MAP results: 0.03753437301587316 - time: 2018-11-30 17:51:19.191019
BayesianSearch: New best config found. Config: {'weights1': 0.3, 'weights2': 0.30000000000000004, 'weights3': 0.8, 'weights4': 0.5, 'weights5': 0.6000000000000001, 'normalize': True} - MAP results: 0.03813279761904777 - time: 2018-11-30 17:51:43.008777
