BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 260, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.05244132583949902 - time: 2018-12-14 12:12:28.604138
BayesianSearch: Config is suboptimal. Config: {'topK': 660, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04951219833434511 - time: 2018-12-14 12:13:03.356499
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 48, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.04952164344275864 - time: 2018-12-14 12:13:37.061030
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 88, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.0526459803040384 - time: 2018-12-14 12:14:10.720922
BayesianSearch: Config is suboptimal. Config: {'topK': 310, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05087083903817858 - time: 2018-12-14 12:14:46.426930
BayesianSearch: Config is suboptimal. Config: {'topK': 110, 'shrink': 160, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052446225632963354 - time: 2018-12-14 12:15:20.209654
BayesianSearch: Config is suboptimal. Config: {'topK': 340, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052409300666925715 - time: 2018-12-14 12:15:53.436709
BayesianSearch: Config is suboptimal. Config: {'topK': 10, 'shrink': 30, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.050504009313767244 - time: 2018-12-14 12:16:26.679616
BayesianSearch: Config is suboptimal. Config: {'topK': 610, 'shrink': 72, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.049478225259284275 - time: 2018-12-14 12:17:00.157997
BayesianSearch: Config is suboptimal. Config: {'topK': 780, 'shrink': 16, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.051152881574137055 - time: 2018-12-14 12:17:34.283067
BayesianSearch: Config is suboptimal. Config: {'topK': 650, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052409300666925715 - time: 2018-12-14 12:18:07.850101
BayesianSearch: Config is suboptimal. Config: {'topK': 520, 'shrink': 24, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04953303042279882 - time: 2018-12-14 12:18:41.835705
BayesianSearch: Config is suboptimal. Config: {'topK': 160, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052409300666925715 - time: 2018-12-14 12:19:16.317273
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 72, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05153854501195335 - time: 2018-12-14 12:19:50.970998
BayesianSearch: Config is suboptimal. Config: {'topK': 160, 'shrink': 22, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.05242979577322807 - time: 2018-12-14 12:20:25.314835
BayesianSearch: Config is suboptimal. Config: {'topK': 230, 'shrink': 140, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052409300666925715 - time: 2018-12-14 12:20:59.156328
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.049846436784387556 - time: 2018-12-14 12:21:32.369668
BayesianSearch: Config is suboptimal. Config: {'topK': 490, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05087083903817858 - time: 2018-12-14 12:22:08.101932
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 100, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.0495476681242175 - time: 2018-12-14 12:22:42.241979
BayesianSearch: Config is suboptimal. Config: {'topK': 20, 'shrink': 60, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.05266367253032228 - time: 2018-12-14 12:23:16.934539
BayesianSearch: Config is suboptimal. Config: {'topK': 780, 'shrink': 24, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04953303042279882 - time: 2018-12-14 12:23:51.334152
BayesianSearch: Config is suboptimal. Config: {'topK': 790, 'shrink': 180, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.05167273942822145 - time: 2018-12-14 12:24:25.888633
BayesianSearch: Config is suboptimal. Config: {'topK': 460, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052409300666925715 - time: 2018-12-14 12:25:00.363283
BayesianSearch: Config is suboptimal. Config: {'topK': 380, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.04951219833434511 - time: 2018-12-14 12:25:35.474887
BayesianSearch: Config is suboptimal. Config: {'topK': 630, 'shrink': 20, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.052446225632963354 - time: 2018-12-14 12:26:09.910259
BayesianSearch: New best config found. Config: {'topK': 10, 'shrink': 180, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.05286671777889979 - time: 2018-12-14 12:26:43.658862
BayesianSearch: Best config is: Config {'topK': 10, 'shrink': 180, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0}, MAP value is 0.0529
BayesianSearch: New best config found. Config: {'topK': 170, 'shrink': 5, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.049761977900139975 - time: 2018-12-28 16:51:28.454353
BayesianSearch: New best config found. Config: {'topK': 120, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.036249776864449385 - time: 2019-01-08 11:05:04.943345
BayesianSearch: New best config found. Config: {'topK': 130, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.03638177073885098 - time: 2019-01-08 11:05:21.023787
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.03570810748929189 - time: 2019-01-08 11:05:37.789676
BayesianSearch: Config is suboptimal. Config: {'topK': 80, 'shrink': 12, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 1} - MAP results: 0.036265433610481165 - time: 2019-01-08 11:05:54.154722
