BayesianSearch: Testing config: {'weights1': 0.23180517047020277, 'weights2': 0.41357428976515653, 'weights3': 0.8132138611521404, 'weights4': 0.8411219162287701, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.5670166374978496, 'weights2': 0.37998212760771444, 'weights3': 0.7850629119942067, 'weights4': 0.7790164970493407, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.2063375451817041, 'weights2': 0.8182104008267403, 'weights3': 0.3198941172935217, 'weights4': 0.25139024810700117, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: Testing config: {'weights1': 0.4747025373069542, 'weights2': 0.05588687202218012, 'weights3': 0.7930425226164968, 'weights4': 0.8207067619027614, 'normalize': True} - Exception 'NoneType' object is not subscriptable
BayesianSearch: New best config found. Config: {'weights1': 0.7787799124117382, 'weights2': 0.5241481471927255, 'weights3': 0.7993847582588741, 'weights4': 0.1282318915790941, 'normalize': False} - results: {'ROC_AUC': 0.07078476587301594, 'PRECISION': 0.029659999999999957, 'RECALL': 0.029659999999999957, 'RECALL_TEST_LEN': 0.029659999999999957, 'MAP': 0.019843269841269814, 'MRR': 0.07009492063492068, 'NDCG': 0.034320817699283364, 'F1': 0.029659999999999957, 'HIT_RATE': 0.2966, 'ARHR': 0.11336646825396832, 'NOVELTY': 0.006966347193687058, 'DIVERSITY_MEAN_INTER_LIST': 0.49492073607360737, 'DIVERSITY_HERFINDAHL': 0.9494871244, 'COVERAGE_ITEM': 0.17475163557063242, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06279678403105074, 'SHANNON_ENTROPY': 5.5326029086436295} - time: 2018-11-30 13:13:36.411260
BayesianSearch: New best config found. Config: {'weights1': 0.7101057374928602, 'weights2': 0.9639282010049968, 'weights3': 0.6541807648824667, 'weights4': 0.8502065198383797, 'normalize': False} - results: {'ROC_AUC': 0.07112161507936512, 'PRECISION': 0.029879999999999983, 'RECALL': 0.029879999999999983, 'RECALL_TEST_LEN': 0.029879999999999983, 'MAP': 0.019750317460317468, 'MRR': 0.07063019841269849, 'NDCG': 0.03446267457380891, 'F1': 0.029879999999999983, 'HIT_RATE': 0.2988, 'ARHR': 0.11359365079365077, 'NOVELTY': 0.006960855852164299, 'DIVERSITY_MEAN_INTER_LIST': 0.49490935093509353, 'DIVERSITY_HERFINDAHL': 0.949485986, 'COVERAGE_ITEM': 0.16312091107341894, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06211005643005643, 'SHANNON_ENTROPY': 5.5177217491677135} - time: 2018-11-30 13:17:13.350584
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.6475655178889619, 'weights2': 0.7049327618314857, 'weights3': 0.6659621940671896, 'weights4': 0.394856001598466, 'normalize': True} - results: {'ROC_AUC': 0.07121452380952392, 'PRECISION': 0.029679999999999977, 'RECALL': 0.029679999999999977, 'RECALL_TEST_LEN': 0.029679999999999977, 'MAP': 0.01973354761904762, 'MRR': 0.07051210317460327, 'NDCG': 0.034345193967223166, 'F1': 0.029679999999999977, 'HIT_RATE': 0.2968, 'ARHR': 0.11346154761904749, 'NOVELTY': 0.0069623647259467215, 'DIVERSITY_MEAN_INTER_LIST': 0.4949133353335333, 'DIVERSITY_HERFINDAHL': 0.9494863844, 'COVERAGE_ITEM': 0.16670705112672643, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06236523684975298, 'SHANNON_ENTROPY': 5.522731405014234} - time: 2018-11-30 13:17:31.162585
BayesianSearch: New best config found. Config: {'weights1': 0.8451002940316756, 'weights2': 0.5996813261350183, 'weights3': 0.10267109559954102, 'weights4': 0.4524685356027841, 'normalize': False} - results: {'ROC_AUC': 0.07174868650793659, 'PRECISION': 0.030480000000000017, 'RECALL': 0.030480000000000017, 'RECALL_TEST_LEN': 0.030480000000000017, 'MAP': 0.020658599206349222, 'MRR': 0.07108928571428577, 'NDCG': 0.03519437248855829, 'F1': 0.030480000000000017, 'HIT_RATE': 0.3048, 'ARHR': 0.11602142857142876, 'NOVELTY': 0.006977776652217233, 'DIVERSITY_MEAN_INTER_LIST': 0.49491220522052204, 'DIVERSITY_HERFINDAHL': 0.9494862714, 'COVERAGE_ITEM': 0.1808577659316695, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06440009643718189, 'SHANNON_ENTROPY': 5.545223338609362} - time: 2018-11-30 13:17:48.995787
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4232399473044708, 'weights2': 0.8616475895736897, 'weights3': 0.3456867133043615, 'weights4': 0.9596600591458785, 'normalize': False} - results: {'ROC_AUC': 0.07135794444444447, 'PRECISION': 0.029659999999999968, 'RECALL': 0.029659999999999968, 'RECALL_TEST_LEN': 0.029659999999999968, 'MAP': 0.01955117857142858, 'MRR': 0.07046115079365081, 'NDCG': 0.034225447976589204, 'F1': 0.02965999999999997, 'HIT_RATE': 0.2966, 'ARHR': 0.1128275793650794, 'NOVELTY': 0.0069576470309277464, 'DIVERSITY_MEAN_INTER_LIST': 0.49490222222222224, 'DIVERSITY_HERFINDAHL': 0.9494852732, 'COVERAGE_ITEM': 0.1560455536709474, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.061938230363241226, 'SHANNON_ENTROPY': 5.509001397580353} - time: 2018-11-30 13:18:06.716888
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.833719708450308, 'weights2': 0.22387557034781347, 'weights3': 0.5341777567326894, 'weights4': 0.0631930736686982, 'normalize': False} - results: {'ROC_AUC': 0.07063949999999997, 'PRECISION': 0.029859999999999984, 'RECALL': 0.029859999999999984, 'RECALL_TEST_LEN': 0.029859999999999984, 'MAP': 0.0201703373015873, 'MRR': 0.07011337301587303, 'NDCG': 0.03457466001138091, 'F1': 0.029859999999999984, 'HIT_RATE': 0.2986, 'ARHR': 0.11423297619047633, 'NOVELTY': 0.006976961504637248, 'DIVERSITY_MEAN_INTER_LIST': 0.4949156335633564, 'DIVERSITY_HERFINDAHL': 0.9494866142, 'COVERAGE_ITEM': 0.1872546644051369, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06444621992238034, 'SHANNON_ENTROPY': 5.551211470660333} - time: 2018-11-30 13:18:24.075279
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9669603571394377, 'weights2': 0.5403147981201564, 'weights3': 0.6496166088983227, 'weights4': 0.0044722682692568405, 'normalize': True} - results: {'ROC_AUC': 0.07096911904761907, 'PRECISION': 0.029919999999999974, 'RECALL': 0.029919999999999974, 'RECALL_TEST_LEN': 0.029919999999999974, 'MAP': 0.020127603174603183, 'MRR': 0.07025623015873016, 'NDCG': 0.03460991865321994, 'F1': 0.029919999999999974, 'HIT_RATE': 0.2992, 'ARHR': 0.11427091269841283, 'NOVELTY': 0.006971107674454463, 'DIVERSITY_MEAN_INTER_LIST': 0.4949055365536554, 'DIVERSITY_HERFINDAHL': 0.9494856046, 'COVERAGE_ITEM': 0.17862854373637024, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06349922972606455, 'SHANNON_ENTROPY': 5.539161696026277} - time: 2018-11-30 13:18:41.507219
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.40581239397462865, 'weights2': 0.9133284702201753, 'weights3': 0.77965028681475, 'weights4': 0.06886197395721638, 'normalize': True} - results: {'ROC_AUC': 0.07029731349206356, 'PRECISION': 0.02894999999999992, 'RECALL': 0.02894999999999992, 'RECALL_TEST_LEN': 0.02894999999999992, 'MAP': 0.01901521825396826, 'MRR': 0.06921174603174615, 'NDCG': 0.033450792538374664, 'F1': 0.02894999999999992, 'HIT_RATE': 0.2895, 'ARHR': 0.11040900793650803, 'NOVELTY': 0.006956967283314147, 'DIVERSITY_MEAN_INTER_LIST': 0.4949042724272428, 'DIVERSITY_HERFINDAHL': 0.9494854782, 'COVERAGE_ITEM': 0.15914708020353768, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06159077625570776, 'SHANNON_ENTROPY': 5.5114644216492215} - time: 2018-11-30 13:18:58.988506
BayesianSearch: New best config found. Config: {'weights1': 0.5375275994615292, 'weights2': 0.14375911492345805, 'weights3': 0.16082890163922403, 'weights4': 0.722217941970397, 'normalize': False} - results: {'ROC_AUC': 0.07125122619047632, 'PRECISION': 0.030740000000000014, 'RECALL': 0.030740000000000014, 'RECALL_TEST_LEN': 0.030740000000000014, 'MAP': 0.020866019841269894, 'MRR': 0.07140416666666671, 'NDCG': 0.03548847506120801, 'F1': 0.030740000000000014, 'HIT_RATE': 0.3074, 'ARHR': 0.11702047619047626, 'NOVELTY': 0.0069795995975166095, 'DIVERSITY_MEAN_INTER_LIST': 0.49492117411741177, 'DIVERSITY_HERFINDAHL': 0.9494871682, 'COVERAGE_ITEM': 0.18710928034892174, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.06528564474365614, 'SHANNON_ENTROPY': 5.555042125981215} - time: 2018-11-30 13:19:16.099346
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9813882958616926, 'weights2': 0.0909935926434674, 'weights3': 0.05596948613175645, 'weights4': 0.9827608451253844, 'normalize': True} - results: {'ROC_AUC': 0.07053239285714287, 'PRECISION': 0.028449999999999927, 'RECALL': 0.028449999999999927, 'RECALL_TEST_LEN': 0.028449999999999927, 'MAP': 0.020064134920634923, 'MRR': 0.06901809523809523, 'NDCG': 0.03355855945944786, 'F1': 0.028449999999999927, 'HIT_RATE': 0.2845, 'ARHR': 0.11233238095238098, 'NOVELTY': 0.007017406154922071, 'DIVERSITY_MEAN_INTER_LIST': 0.4949584278427843, 'DIVERSITY_HERFINDAHL': 0.9494908932, 'COVERAGE_ITEM': 0.21618609159195543, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07076635589421784, 'SHANNON_ENTROPY': 5.602208703301135} - time: 2018-11-30 13:19:43.117375
