BayesianSearch: Config is suboptimal. Config: {'top1': 475, 'normalize_similarity': False, 'alphaRP3': 1.619428857715431, 'betaRP': 0.005006012024048097} - MAP results: 0.020122194976091693 - time: 2018-12-14 22:56:14.540918
BayesianSearch: Config is suboptimal. Config: {'top1': 745, 'normalize_similarity': False, 'alphaRP3': 1.995993987975952, 'betaRP': 0.4256372745490982} - MAP results: 0.01609894658704568 - time: 2018-12-14 22:57:40.519013
BayesianSearch: Config is suboptimal. Config: {'top1': 125, 'normalize_similarity': False, 'alphaRP3': 0.6099138276553107, 'betaRP': 0.2373547094188377} - MAP results: 0.023830884981150723 - time: 2018-12-14 22:58:50.446198
BayesianSearch: Config is suboptimal. Config: {'top1': 20, 'normalize_similarity': False, 'alphaRP3': 1.0986472945891783, 'betaRP': 0.08913226452905812} - MAP results: 0.023490020019785823 - time: 2018-12-14 22:59:52.406772
BayesianSearch: Config is suboptimal. Config: {'top1': 30, 'normalize_similarity': True, 'alphaRP3': 0.005006012024048097, 'betaRP': 0.15322845691382767} - MAP results: 0.024145131536545406 - time: 2018-12-14 23:01:03.074478
BayesianSearch: Config is suboptimal. Config: {'top1': 275, 'normalize_similarity': False, 'alphaRP3': 1.1146713426853707, 'betaRP': 0.01301803607214429} - MAP results: 0.021314210418926123 - time: 2018-12-14 23:02:20.190475
BayesianSearch: Config is suboptimal. Config: {'top1': 785, 'normalize_similarity': False, 'alphaRP3': 0.6299438877755512, 'betaRP': 0.1372044088176353} - MAP results: 0.02182649954582 - time: 2018-12-14 23:03:49.499690
BayesianSearch: Config is suboptimal. Config: {'top1': 10, 'normalize_similarity': False, 'alphaRP3': 0.6019018036072145, 'betaRP': 0.2253366733466934} - MAP results: 0.02321452693935326 - time: 2018-12-14 23:04:58.978898
BayesianSearch: Config is suboptimal. Config: {'top1': 290, 'normalize_similarity': True, 'alphaRP3': 0.4697034068136273, 'betaRP': 0.34151102204408823} - MAP results: 0.0224577963575988 - time: 2018-12-14 23:06:12.545279
BayesianSearch: Config is suboptimal. Config: {'top1': 790, 'normalize_similarity': True, 'alphaRP3': 0.005006012024048097, 'betaRP': 0.8783166332665332} - MAP results: 0.006862076527063653 - time: 2018-12-14 23:07:44.739855
BayesianSearch: Config is suboptimal. Config: {'top1': 795, 'normalize_similarity': True, 'alphaRP3': 1.49524248496994, 'betaRP': 0.32148096192384773} - MAP results: 0.019676385510607946 - time: 2018-12-14 23:09:11.742854
BayesianSearch: Config is suboptimal. Config: {'top1': 10, 'normalize_similarity': False, 'alphaRP3': 0.16124048096192387, 'betaRP': 0.2814208416833668} - MAP results: 0.023311245371183245 - time: 2018-12-14 23:10:02.098736
BayesianSearch: Config is suboptimal. Config: {'top1': 795, 'normalize_similarity': False, 'alphaRP3': 0.001, 'betaRP': 0.2814208416833668} - MAP results: 0.02144506061986537 - time: 2018-12-14 23:11:08.138210
BayesianSearch: Config is suboptimal. Config: {'top1': 80, 'normalize_similarity': True, 'alphaRP3': 0.9223827655310622, 'betaRP': 0.1412104208416834} - MAP results: 0.023995211504011547 - time: 2018-12-14 23:12:02.873249
BayesianSearch: Config is suboptimal. Config: {'top1': 35, 'normalize_similarity': True, 'alphaRP3': 0.4216312625250501, 'betaRP': 0.33750501002004013} - MAP results: 0.0241732170586616 - time: 2018-12-14 23:12:55.135887
BayesianSearch: Config is suboptimal. Config: {'top1': 75, 'normalize_similarity': False, 'alphaRP3': 0.4296432865731463, 'betaRP': 0.30946292585170343} - MAP results: 0.024006827837813154 - time: 2018-12-14 23:13:53.382769
BayesianSearch: Config is suboptimal. Config: {'top1': 10, 'normalize_similarity': False, 'alphaRP3': 2.0, 'betaRP': 0.33750501002004013} - MAP results: 0.01458622162869557 - time: 2018-12-14 23:14:44.884458
BayesianSearch: Config is suboptimal. Config: {'top1': 795, 'normalize_similarity': True, 'alphaRP3': 0.30946292585170343, 'betaRP': 0.24136072144288578} - MAP results: 0.02186836065280816 - time: 2018-12-14 23:15:54.435329
