BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'alpha': 2.0, 'beta': 0.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.4708794007936469, 'PRECISION': 0.15426999999999744, 'RECALL': 0.15426999999999744, 'RECALL_TEST_LEN': 0.15426999999999744, 'MAP': 0.08317612698412616, 'MRR': 0.4161204761904787, 'NDCG': 0.1771452043429017, 'F1': 0.15426999999999744, 'HIT_RATE': 1.5427, 'ARHR': 0.5821235714285727, 'NOVELTY': 0.005391653375523577, 'DIVERSITY_MEAN_INTER_LIST': 0.9747864506450645, 'DIVERSITY_HERFINDAHL': 0.9974688972, 'COVERAGE_ITEM': 0.21201841531378726, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.16370306215722122, 'SHANNON_ENTROPY': 9.653123333488129} - time: 2018-11-29 14:55:26.021764
BayesianSearch: New best config found. Config: {'topK': 50, 'alpha': 1.3810640724676053, 'beta': 1.996664102462162, 'normalize_similarity': True} - results: {'ROC_AUC': 0.006498769841269839, 'PRECISION': 0.0017299999999999993, 'RECALL': 0.0017299999999999993, 'RECALL_TEST_LEN': 0.0017299999999999993, 'MAP': 0.0009275912698412693, 'MRR': 0.004971230158730163, 'NDCG': 0.001963618973642588, 'F1': 0.0017299999999999993, 'HIT_RATE': 0.0173, 'ARHR': 0.0064036507936508, 'NOVELTY': 0.009617637862478866, 'DIVERSITY_MEAN_INTER_LIST': 0.9850270347034704, 'DIVERSITY_HERFINDAHL': 0.9984928532, 'COVERAGE_ITEM': 0.16753089411194572, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24784780219780217, 'SHANNON_ENTROPY': 10.118126246426101} - time: 2018-11-30 11:14:19.300999
BayesianSearch: New best config found. Config: {'topK': 100, 'alpha': 0.2700437109232223, 'beta': 0.6404589901682824, 'normalize_similarity': False} - results: {'ROC_AUC': 0.4589858015872989, 'PRECISION': 0.15009999999999782, 'RECALL': 0.15009999999999782, 'RECALL_TEST_LEN': 0.15009999999999782, 'MAP': 0.0829554047619037, 'MRR': 0.40337079365079787, 'NDCG': 0.1729856093712151, 'F1': 0.15009999999999782, 'HIT_RATE': 1.501, 'ARHR': 0.569663968253969, 'NOVELTY': 0.005782648546472441, 'DIVERSITY_MEAN_INTER_LIST': 0.9848975097509751, 'DIVERSITY_HERFINDAHL': 0.998479902, 'COVERAGE_ITEM': 0.2902834989096196, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.21888077449507598, 'SHANNON_ENTROPY': 10.545326025799955} - time: 2018-11-30 11:14:57.061377
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 1.0277482298970555, 'beta': 1.0608295095607894, 'normalize_similarity': True} - results: {'ROC_AUC': 0.033104742063492065, 'PRECISION': 0.010299999999999943, 'RECALL': 0.010299999999999943, 'RECALL_TEST_LEN': 0.010299999999999943, 'MAP': 0.00418688095238096, 'MRR': 0.02269452380952376, 'NDCG': 0.010212575197219848, 'F1': 0.010299999999999943, 'HIT_RATE': 0.103, 'ARHR': 0.029600317460317417, 'NOVELTY': 0.009291659669537981, 'DIVERSITY_MEAN_INTER_LIST': 0.9927237143714371, 'DIVERSITY_HERFINDAHL': 0.9992624442, 'COVERAGE_ITEM': 0.3587593893869639, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2842334278768234, 'SHANNON_ENTROPY': 11.339004211416594} - time: 2018-11-30 11:15:34.683193
BayesianSearch: Config is suboptimal. Config: {'topK': 5, 'alpha': 0.9080357760853344, 'beta': 0.8390358598371341, 'normalize_similarity': True} - results: {'ROC_AUC': 0.07572292857142875, 'PRECISION': 0.018909999999999653, 'RECALL': 0.018909999999999653, 'RECALL_TEST_LEN': 0.018909999999999653, 'MAP': 0.008990492063492048, 'MRR': 0.0556023412698413, 'NDCG': 0.02134317232221365, 'F1': 0.018909999999999653, 'HIT_RATE': 0.1891, 'ARHR': 0.06915801587301591, 'NOVELTY': 0.008983820512249586, 'DIVERSITY_MEAN_INTER_LIST': 0.9862476947694769, 'DIVERSITY_HERFINDAHL': 0.998614907, 'COVERAGE_ITEM': 0.28679428156045556, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2587772495353945, 'SHANNON_ENTROPY': 10.774530648195569} - time: 2018-11-30 11:15:58.653884
BayesianSearch: Config is suboptimal. Config: {'topK': 600, 'alpha': 0.19080883193470388, 'beta': 1.4848480123008854, 'normalize_similarity': False} - results: {'ROC_AUC': 0.0054189563492063495, 'PRECISION': 0.0016999999999999997, 'RECALL': 0.0016999999999999997, 'RECALL_TEST_LEN': 0.0016999999999999997, 'MAP': 0.0009442341269841266, 'MRR': 0.004407817460317462, 'NDCG': 0.0018879425510764122, 'F1': 0.0016999999999999997, 'HIT_RATE': 0.017, 'ARHR': 0.0060640079365079395, 'NOVELTY': 0.009680038403363104, 'DIVERSITY_MEAN_INTER_LIST': 0.9748225702570257, 'DIVERSITY_HERFINDAHL': 0.9974725088, 'COVERAGE_ITEM': 0.1381633147564817, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2186253295932679, 'SHANNON_ENTROPY': 9.577220116729793} - time: 2018-11-30 11:16:37.327164
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'alpha': 1.3293351124573007, 'beta': 0.7295004693324394, 'normalize_similarity': False} - results: {'ROC_AUC': 0.09019454761904744, 'PRECISION': 0.031249999999999927, 'RECALL': 0.031249999999999927, 'RECALL_TEST_LEN': 0.031249999999999927, 'MAP': 0.013946436507936514, 'MRR': 0.06683515873015883, 'NDCG': 0.031499772576987745, 'F1': 0.031249999999999927, 'HIT_RATE': 0.3125, 'ARHR': 0.09284726190476218, 'NOVELTY': 0.008329600665314319, 'DIVERSITY_MEAN_INTER_LIST': 0.9986197219721972, 'DIVERSITY_HERFINDAHL': 0.999851986, 'COVERAGE_ITEM': 0.7322510298037316, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.490200709416981, 'SHANNON_ENTROPY': 13.233497609278793} - time: 2018-11-30 11:17:08.796748
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'alpha': 0.47362496286265676, 'beta': 1.642822816000411, 'normalize_similarity': False} - results: {'ROC_AUC': 0.005818202380952382, 'PRECISION': 0.0016899999999999988, 'RECALL': 0.0016899999999999988, 'RECALL_TEST_LEN': 0.0016899999999999988, 'MAP': 0.0009626785714285708, 'MRR': 0.004652619047619051, 'NDCG': 0.0019233519017696381, 'F1': 0.0016899999999999988, 'HIT_RATE': 0.0169, 'ARHR': 0.006288650793650797, 'NOVELTY': 0.009692135202784934, 'DIVERSITY_MEAN_INTER_LIST': 0.9873557435743574, 'DIVERSITY_HERFINDAHL': 0.9987257008, 'COVERAGE_ITEM': 0.1651078265083596, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.28970220657276996, 'SHANNON_ENTROPY': 10.331337848928356} - time: 2018-11-30 11:17:32.910265
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 1.5090192993154756, 'beta': 1.719530805478329, 'normalize_similarity': False} - results: {'ROC_AUC': 0.010844742063492067, 'PRECISION': 0.0028600000000000084, 'RECALL': 0.0028600000000000084, 'RECALL_TEST_LEN': 0.0028600000000000084, 'MAP': 0.0013220357142857142, 'MRR': 0.0076469841269841314, 'NDCG': 0.003070530438423157, 'F1': 0.0028600000000000084, 'HIT_RATE': 0.0286, 'ARHR': 0.009576428571428574, 'NOVELTY': 0.009399942438730309, 'DIVERSITY_MEAN_INTER_LIST': 0.9958019661966196, 'DIVERSITY_HERFINDAHL': 0.9995702386, 'COVERAGE_ITEM': 0.3785316210322268, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.36043031490015365, 'SHANNON_ENTROPY': 11.847358352178672} - time: 2018-11-30 11:17:59.756049
BayesianSearch: Config is suboptimal. Config: {'topK': 800, 'alpha': 2.0, 'beta': 0.0, 'normalize_similarity': True} - results: {'ROC_AUC': 0.46760995238095004, 'PRECISION': 0.1519099999999978, 'RECALL': 0.1519099999999978, 'RECALL_TEST_LEN': 0.1519099999999978, 'MAP': 0.08162191269841218, 'MRR': 0.4120162301587332, 'NDCG': 0.174509355263412, 'F1': 0.1519099999999978, 'HIT_RATE': 1.5191, 'ARHR': 0.5736871825396826, 'NOVELTY': 0.00537409536784251, 'DIVERSITY_MEAN_INTER_LIST': 0.9727518671867187, 'DIVERSITY_HERFINDAHL': 0.9972654592, 'COVERAGE_ITEM': 0.21032226799127696, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.1576250264915918, 'SHANNON_ENTROPY': 9.561656683145856} - time: 2018-11-30 11:18:40.552502
