BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.1, 'weights2': 1.2, 'weights3': 0.4, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 0.9, 'weights3': 0.3, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.5, 'weights2': 0.7, 'weights3': 0.5, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.5, 'weights3': 0.3, 'normalize': False} - Exception Weights and recommender list have different lenghts
BayesianSearch: Testing config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.4, 'weights2': 0.7, 'weights3': 0.5, 'normalize': True} - Exception Weights and recommender list have different lenghts
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.2, 'weights2': 1.2, 'weights3': 0.3, 'normalize': True} - results: {'ROC_AUC': 0.027233825396825374, 'PRECISION': 0.012079999999999987, 'RECALL': 0.012079999999999987, 'RECALL_TEST_LEN': 0.012079999999999987, 'MAP': 0.008006777777777772, 'MRR': 0.02631718253968254, 'NDCG': 0.013642790039628745, 'F1': 0.012079999999999987, 'HIT_RATE': 0.1208, 'ARHR': 0.044168809523809575, 'NOVELTY': 0.007905326167224608, 'DIVERSITY_MEAN_INTER_LIST': 0.39515240524052403, 'DIVERSITY_HERFINDAHL': 0.939511289, 'COVERAGE_ITEM': 0.09769808577659317, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03334924144769459, 'SHANNON_ENTROPY': 4.665950312593455}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.2, 'weights2': 0.7, 'weights3': 0.4, 'normalize': True} - results: {'ROC_AUC': 0.02767695634920634, 'PRECISION': 0.01209999999999998, 'RECALL': 0.01209999999999998, 'RECALL_TEST_LEN': 0.01209999999999998, 'MAP': 0.007997662698412693, 'MRR': 0.026181904761904753, 'NDCG': 0.013639677561819554, 'F1': 0.012099999999999982, 'HIT_RATE': 0.121, 'ARHR': 0.04405349206349207, 'NOVELTY': 0.007904704885297653, 'DIVERSITY_MEAN_INTER_LIST': 0.3951529592959296, 'DIVERSITY_HERFINDAHL': 0.9395113444, 'COVERAGE_ITEM': 0.0990550036346014, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03337680195599022, 'SHANNON_ENTROPY': 4.6671396428015495}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.7, 'weights3': 0, 'normalize': False} - results: {'ROC_AUC': 0.02824167063492065, 'PRECISION': 0.012809999999999992, 'RECALL': 0.012809999999999992, 'RECALL_TEST_LEN': 0.012809999999999992, 'MAP': 0.008857333333333337, 'MRR': 0.027806865079365077, 'NDCG': 0.014600056689977646, 'F1': 0.012809999999999992, 'HIT_RATE': 0.1281, 'ARHR': 0.04759178571428575, 'NOVELTY': 0.007912059035778716, 'DIVERSITY_MEAN_INTER_LIST': 0.3951563476347635, 'DIVERSITY_HERFINDAHL': 0.9395116832, 'COVERAGE_ITEM': 0.10743881754300945, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03409404869251578, 'SHANNON_ENTROPY': 4.675521107265132}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 1, 'weights3': 0, 'normalize': True} - results: {'ROC_AUC': 0.027901972222222213, 'PRECISION': 0.012659999999999989, 'RECALL': 0.012659999999999989, 'RECALL_TEST_LEN': 0.012659999999999989, 'MAP': 0.008636749999999985, 'MRR': 0.027509920634920627, 'NDCG': 0.01439110606983304, 'F1': 0.012659999999999989, 'HIT_RATE': 0.1266, 'ARHR': 0.04681198412698411, 'NOVELTY': 0.007910239317891945, 'DIVERSITY_MEAN_INTER_LIST': 0.39515474547454743, 'DIVERSITY_HERFINDAHL': 0.939511523, 'COVERAGE_ITEM': 0.10399806154591713, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03373766185374942, 'SHANNON_ENTROPY': 4.6719178366263}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.7, 'weights3': 0.3, 'normalize': False} - results: {'ROC_AUC': 0.027966928571428566, 'PRECISION': 0.01274999999999999, 'RECALL': 0.01274999999999999, 'RECALL_TEST_LEN': 0.01274999999999999, 'MAP': 0.008712337301587299, 'MRR': 0.027424087301587297, 'NDCG': 0.014468596896529198, 'F1': 0.01274999999999999, 'HIT_RATE': 0.1275, 'ARHR': 0.04698753968253972, 'NOVELTY': 0.007907636824215036, 'DIVERSITY_MEAN_INTER_LIST': 0.39515487548754874, 'DIVERSITY_HERFINDAHL': 0.939511536, 'COVERAGE_ITEM': 0.10399806154591713, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03366641825803447, 'SHANNON_ENTROPY': 4.671796036966434}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.7, 'weights3': 0.6, 'normalize': False} - results: {'ROC_AUC': 0.02790531746031745, 'PRECISION': 0.012549999999999978, 'RECALL': 0.012549999999999978, 'RECALL_TEST_LEN': 0.012549999999999978, 'MAP': 0.008519242063492053, 'MRR': 0.0270620238095238, 'NDCG': 0.014224566117674113, 'F1': 0.012549999999999978, 'HIT_RATE': 0.1255, 'ARHR': 0.0461622619047619, 'NOVELTY': 0.007905951307511679, 'DIVERSITY_MEAN_INTER_LIST': 0.39515422142214224, 'DIVERSITY_HERFINDAHL': 0.9395114706, 'COVERAGE_ITEM': 0.10235037557547856, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03355970657832466, 'SHANNON_ENTROPY': 4.6702092736187595}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.9, 'weights3': 0.1, 'normalize': False} - results: {'ROC_AUC': 0.02836721031746031, 'PRECISION': 0.012629999999999983, 'RECALL': 0.012629999999999983, 'RECALL_TEST_LEN': 0.012629999999999983, 'MAP': 0.008674821428571424, 'MRR': 0.027593928571428568, 'NDCG': 0.014404815515130759, 'F1': 0.012629999999999983, 'HIT_RATE': 0.1263, 'ARHR': 0.04694853174603176, 'NOVELTY': 0.007908903691300947, 'DIVERSITY_MEAN_INTER_LIST': 0.39515464546454643, 'DIVERSITY_HERFINDAHL': 0.939511513, 'COVERAGE_ITEM': 0.10428882965834747, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03365225267069206, 'SHANNON_ENTROPY': 4.671815553266433}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 1.5, 'weights3': 0.8, 'normalize': True} - results: {'ROC_AUC': 0.02780918650793648, 'PRECISION': 0.012299999999999983, 'RECALL': 0.012299999999999983, 'RECALL_TEST_LEN': 0.012299999999999983, 'MAP': 0.008191488095238083, 'MRR': 0.026460238095238082, 'NDCG': 0.013881641586869956, 'F1': 0.012299999999999985, 'HIT_RATE': 0.123, 'ARHR': 0.04486956349206352, 'NOVELTY': 0.007905021125442311, 'DIVERSITY_MEAN_INTER_LIST': 0.3951531473147315, 'DIVERSITY_HERFINDAHL': 0.9395113632, 'COVERAGE_ITEM': 0.09987884661982069, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.033385935984481085, 'SHANNON_ENTROPY': 4.66774933179992}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.6, 'weights2': 0.5, 'weights3': 0, 'normalize': True} - results: {'ROC_AUC': 0.02820022619047619, 'PRECISION': 0.012949999999999995, 'RECALL': 0.012949999999999995, 'RECALL_TEST_LEN': 0.012949999999999995, 'MAP': 0.00901382142857143, 'MRR': 0.02767873015873016, 'NDCG': 0.014699356938153505, 'F1': 0.012949999999999995, 'HIT_RATE': 0.1295, 'ARHR': 0.047763214285714305, 'NOVELTY': 0.007914406420594013, 'DIVERSITY_MEAN_INTER_LIST': 0.3951579497949795, 'DIVERSITY_HERFINDAHL': 0.9395118434, 'COVERAGE_ITEM': 0.11175187787739278, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.034434174252275684, 'SHANNON_ENTROPY': 4.679525673423358}
BayesianSearch: New best config found. Config: {'topK1': 60, 'topK2': 200, 'topK3': 200, 'shrink1': 5, 'shrink2': 15, 'shrink3': 5, 'force_compute_sim': False, 'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.1, 'normalize': False} - results: {'ROC_AUC': 0.028217456349206357, 'PRECISION': 0.012889999999999983, 'RECALL': 0.012889999999999983, 'RECALL_TEST_LEN': 0.012889999999999983, 'MAP': 0.008904091269841263, 'MRR': 0.027895277777777762, 'NDCG': 0.01465703193694353, 'F1': 0.012889999999999981, 'HIT_RATE': 0.1289, 'ARHR': 0.047690357142857166, 'NOVELTY': 0.007909984297324448, 'DIVERSITY_MEAN_INTER_LIST': 0.39515602960296026, 'DIVERSITY_HERFINDAHL': 0.9395116514, 'COVERAGE_ITEM': 0.1075357402471529, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.03389503603603604, 'SHANNON_ENTROPY': 4.674928497983665}
