BayesianSearch: New best config found. Config: {'weights1': 0.5, 'weights2': 0.7, 'weights3': 1.0, 'weights4': 1.0, 'normalize': True} - results: {'ROC_AUC': 0.49820085317459917, 'PRECISION': 0.1712399999999971, 'RECALL': 0.1712399999999971, 'RECALL_TEST_LEN': 0.1712399999999971, 'MAP': 0.0984050714285708, 'MRR': 0.45391123015873064, 'NDCG': 0.19864870112538338, 'F1': 0.1712399999999971, 'HIT_RATE': 1.7124, 'ARHR': 0.6574810714285731, 'NOVELTY': 0.005529223197586698, 'DIVERSITY_MEAN_INTER_LIST': 0.9844162376237623, 'DIVERSITY_HERFINDAHL': 0.9984317796, 'COVERAGE_ITEM': 0.1940392536951781, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2296261672908864, 'SHANNON_ENTROPY': 10.176613810788265}
BayesianSearch: New best config found. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 1.0, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.49712951984126574, 'PRECISION': 0.1721199999999969, 'RECALL': 0.1721199999999969, 'RECALL_TEST_LEN': 0.1721199999999969, 'MAP': 0.09911648412698355, 'MRR': 0.45533436507936587, 'NDCG': 0.19959847953617574, 'F1': 0.1721199999999969, 'HIT_RATE': 1.7212, 'ARHR': 0.6605721031746037, 'NOVELTY': 0.005535634137354808, 'DIVERSITY_MEAN_INTER_LIST': 0.9848064386438643, 'DIVERSITY_HERFINDAHL': 0.9984707958, 'COVERAGE_ITEM': 0.1966077053549794, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.230584189255791, 'SHANNON_ENTROPY': 10.204345227799173}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.1, 'weights4': 1.0, 'normalize': False} - results: {'ROC_AUC': 0.4964505357142819, 'PRECISION': 0.17231999999999592, 'RECALL': 0.17231999999999592, 'RECALL_TEST_LEN': 0.17231999999999592, 'MAP': 0.09904288492063391, 'MRR': 0.45052095238095397, 'NDCG': 0.19910125131830572, 'F1': 0.17231999999999592, 'HIT_RATE': 1.7232, 'ARHR': 0.6569446031746031, 'NOVELTY': 0.005606676009785019, 'DIVERSITY_MEAN_INTER_LIST': 0.9873884008400841, 'DIVERSITY_HERFINDAHL': 0.9987289662, 'COVERAGE_ITEM': 0.21376302398836927, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.24314443336355396, 'SHANNON_ENTROPY': 10.42031430117263}
BayesianSearch: New best config found. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.6000000000000001, 'weights4': 1.0, 'normalize': False} - results: {'ROC_AUC': 0.49751601984126537, 'PRECISION': 0.17241999999999652, 'RECALL': 0.17241999999999652, 'RECALL_TEST_LEN': 0.17241999999999652, 'MAP': 0.09923316269841206, 'MRR': 0.45344091269841436, 'NDCG': 0.19960849961861968, 'F1': 0.17241999999999652, 'HIT_RATE': 1.7242, 'ARHR': 0.6596314285714282, 'NOVELTY': 0.0055605085595344765, 'DIVERSITY_MEAN_INTER_LIST': 0.9858733173317332, 'DIVERSITY_HERFINDAHL': 0.998577473, 'COVERAGE_ITEM': 0.20193845408286892, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23538553262955852, 'SHANNON_ENTROPY': 10.28280837033451}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.7000000000000001, 'weights4': 1.0, 'normalize': False} - results: {'ROC_AUC': 0.4971418650793595, 'PRECISION': 0.17242999999999659, 'RECALL': 0.17242999999999659, 'RECALL_TEST_LEN': 0.17242999999999659, 'MAP': 0.09921698809523741, 'MRR': 0.45300226190476317, 'NDCG': 0.19956211167052387, 'F1': 0.17242999999999659, 'HIT_RATE': 1.7243, 'ARHR': 0.6593230555555559, 'NOVELTY': 0.005553723484366741, 'DIVERSITY_MEAN_INTER_LIST': 0.9856341134113411, 'DIVERSITY_HERFINDAHL': 0.998553555, 'COVERAGE_ITEM': 0.20024230676035862, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2340930800871038, 'SHANNON_ENTROPY': 10.2614522801188}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 1.0, 'weights4': 0.0, 'normalize': True} - results: {'ROC_AUC': 0.4954513809523786, 'PRECISION': 0.16955999999999674, 'RECALL': 0.16955999999999674, 'RECALL_TEST_LEN': 0.16955999999999674, 'MAP': 0.09802893253968163, 'MRR': 0.4526503174603172, 'NDCG': 0.19730007105767727, 'F1': 0.16955999999999674, 'HIT_RATE': 1.6956, 'ARHR': 0.6546533333333319, 'NOVELTY': 0.005550061486881821, 'DIVERSITY_MEAN_INTER_LIST': 0.9827596839683969, 'DIVERSITY_HERFINDAHL': 0.9982661408, 'COVERAGE_ITEM': 0.21812454567482434, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22052604175921814, 'SHANNON_ENTROPY': 10.205647176468757}
BayesianSearch: New best config found. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.8, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.49731309126983697, 'PRECISION': 0.1724399999999967, 'RECALL': 0.1724399999999967, 'RECALL_TEST_LEN': 0.1724399999999967, 'MAP': 0.09928666269841202, 'MRR': 0.4541956349206359, 'NDCG': 0.19973970184177162, 'F1': 0.1724399999999967, 'HIT_RATE': 1.7244, 'ARHR': 0.6603804761904768, 'NOVELTY': 0.005548092899445862, 'DIVERSITY_MEAN_INTER_LIST': 0.9852282308230823, 'DIVERSITY_HERFINDAHL': 0.9985129708, 'COVERAGE_ITEM': 0.20058153622486066, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23184451690821256, 'SHANNON_ENTROPY': 10.24223838114986}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.7, 'weights3': 0.9, 'weights4': 0.8, 'normalize': False} - results: {'ROC_AUC': 0.4973526428571388, 'PRECISION': 0.17147999999999725, 'RECALL': 0.17147999999999725, 'RECALL_TEST_LEN': 0.17147999999999725, 'MAP': 0.09857274999999943, 'MRR': 0.45363674603174725, 'NDCG': 0.19879876580536365, 'F1': 0.17147999999999725, 'HIT_RATE': 1.7148, 'ARHR': 0.6577023412698413, 'NOVELTY': 0.005535935850760636, 'DIVERSITY_MEAN_INTER_LIST': 0.9842883948394839, 'DIVERSITY_HERFINDAHL': 0.9984189966, 'COVERAGE_ITEM': 0.19898231160649382, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2282189968346725, 'SHANNON_ENTROPY': 10.192682156529287}
BayesianSearch: New best config found. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.4, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.4970247698412657, 'PRECISION': 0.17266999999999624, 'RECALL': 0.17266999999999624, 'RECALL_TEST_LEN': 0.17266999999999624, 'MAP': 0.09929706746031676, 'MRR': 0.452384841269843, 'NDCG': 0.19964822428151965, 'F1': 0.17266999999999624, 'HIT_RATE': 1.7267, 'ARHR': 0.659146865079365, 'NOVELTY': 0.00557985144731667, 'DIVERSITY_MEAN_INTER_LIST': 0.9863219861986199, 'DIVERSITY_HERFINDAHL': 0.9986223354, 'COVERAGE_ITEM': 0.20901381148534043, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2372053453871117, 'SHANNON_ENTROPY': 10.33952763277702}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.2, 'weights4': 0.2, 'normalize': False} - results: {'ROC_AUC': 0.49539423015872647, 'PRECISION': 0.1701699999999961, 'RECALL': 0.1701699999999961, 'RECALL_TEST_LEN': 0.1701699999999961, 'MAP': 0.0984950079365066, 'MRR': 0.45018384920635046, 'NDCG': 0.19759494905099273, 'F1': 0.1701699999999961, 'HIT_RATE': 1.7017, 'ARHR': 0.6544445238095228, 'NOVELTY': 0.005634419295489943, 'DIVERSITY_MEAN_INTER_LIST': 0.9858773477347734, 'DIVERSITY_HERFINDAHL': 0.998577876, 'COVERAGE_ITEM': 0.236539859462079, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23793974190905365, 'SHANNON_ENTROPY': 10.457580119958315}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.7000000000000001, 'weights4': 0.9, 'normalize': False} - results: {'ROC_AUC': 0.4974249404761856, 'PRECISION': 0.17238999999999666, 'RECALL': 0.17238999999999666, 'RECALL_TEST_LEN': 0.17238999999999666, 'MAP': 0.09925073015872936, 'MRR': 0.4535181349206366, 'NDCG': 0.1996279142603278, 'F1': 0.17238999999999666, 'HIT_RATE': 1.7239, 'ARHR': 0.6598186507936512, 'NOVELTY': 0.005555681957593271, 'DIVERSITY_MEAN_INTER_LIST': 0.9854949334933494, 'DIVERSITY_HERFINDAHL': 0.9985396384, 'COVERAGE_ITEM': 0.2025684516598013, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2330678928486008, 'SHANNON_ENTROPY': 10.26513731519875}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.7, 'weights3': 0.4, 'weights4': 0.8, 'normalize': False} - results: {'ROC_AUC': 0.4983428412698373, 'PRECISION': 0.1715199999999972, 'RECALL': 0.1715199999999972, 'RECALL_TEST_LEN': 0.1715199999999972, 'MAP': 0.09871701587301514, 'MRR': 0.45245476190476336, 'NDCG': 0.19881010356768966, 'F1': 0.1715199999999972, 'HIT_RATE': 1.7152, 'ARHR': 0.6574909920634909, 'NOVELTY': 0.0055660345706089786, 'DIVERSITY_MEAN_INTER_LIST': 0.9853386758675868, 'DIVERSITY_HERFINDAHL': 0.9985240142, 'COVERAGE_ITEM': 0.2067845892900412, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.23363251640112462, 'SHANNON_ENTROPY': 10.285700679863481}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.5, 'weights3': 0.7000000000000001, 'weights4': 1.0, 'normalize': False} - results: {'ROC_AUC': 0.4971418650793595, 'PRECISION': 0.17242999999999659, 'RECALL': 0.17242999999999659, 'RECALL_TEST_LEN': 0.17242999999999659, 'MAP': 0.09921698809523741, 'MRR': 0.45300226190476317, 'NDCG': 0.19956211167052387, 'F1': 0.17242999999999659, 'HIT_RATE': 1.7243, 'ARHR': 0.6593230555555559, 'NOVELTY': 0.005553723484366741, 'DIVERSITY_MEAN_INTER_LIST': 0.9856341134113411, 'DIVERSITY_HERFINDAHL': 0.998553555, 'COVERAGE_ITEM': 0.20024230676035862, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.2340930800871038, 'SHANNON_ENTROPY': 10.2614522801188}
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 1.5, 'weights3': 0.0, 'weights4': 0.1, 'normalize': False} - results: {'ROC_AUC': 0.4912627896825359, 'PRECISION': 0.1671099999999963, 'RECALL': 0.1671099999999963, 'RECALL_TEST_LEN': 0.1671099999999963, 'MAP': 0.09527382142857042, 'MRR': 0.443545714285715, 'NDCG': 0.1934855238251388, 'F1': 0.1671099999999963, 'HIT_RATE': 1.6711, 'ARHR': 0.6394885317460279, 'NOVELTY': 0.005560262176557813, 'DIVERSITY_MEAN_INTER_LIST': 0.9831344634463446, 'DIVERSITY_HERFINDAHL': 0.998303615, 'COVERAGE_ITEM': 0.21114611097649624, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.22711872418540613, 'SHANNON_ENTROPY': 10.21691754885319}
