BayesianSearch: New best config found. Config: {'weights1': 0.6113542653190754, 'weights2': 0.767234870592403, 'weights3': 0.5077690530045628, 'weights4': 0.6195074216167578, 'normalize': False} - results: {'ROC_AUC': 0.14911736904761969, 'PRECISION': 0.04944000000000046, 'RECALL': 0.04944000000000046, 'RECALL_TEST_LEN': 0.04944000000000046, 'MAP': 0.027544499999999944, 'MRR': 0.13705837301587306, 'NDCG': 0.05791909637823701, 'F1': 0.04944000000000046, 'HIT_RATE': 0.4944, 'ARHR': 0.19318623015872916, 'NOVELTY': 0.006563237603162541, 'DIVERSITY_MEAN_INTER_LIST': 0.6524020202020202, 'DIVERSITY_HERFINDAHL': 0.965233678, 'COVERAGE_ITEM': 0.08558274775866247, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07616674589700057, 'SHANNON_ENTROPY': 6.294346061277919} - time: 2018-11-30 14:09:57.394684
BayesianSearch: New best config found. Config: {'weights1': 0.8451197847820727, 'weights2': 0.9253649964257065, 'weights3': 0.3313925225051185, 'weights4': 0.7574371680908533, 'normalize': False} - results: {'ROC_AUC': 0.1502235357142866, 'PRECISION': 0.04953000000000041, 'RECALL': 0.04953000000000041, 'RECALL_TEST_LEN': 0.04953000000000041, 'MAP': 0.027606615079364998, 'MRR': 0.1373014285714285, 'NDCG': 0.05804372021555901, 'F1': 0.049530000000000414, 'HIT_RATE': 0.4953, 'ARHR': 0.19353884920634798, 'NOVELTY': 0.0065683377816500655, 'DIVERSITY_MEAN_INTER_LIST': 0.6522882808280829, 'DIVERSITY_HERFINDAHL': 0.9652223052, 'COVERAGE_ITEM': 0.08601889992730798, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07656644144144145, 'SHANNON_ENTROPY': 6.294084104449386} - time: 2018-11-30 14:10:25.778165
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4534114072203811, 'weights2': 0.7244385071872391, 'weights3': 0.04757813883185358, 'weights4': 0.9327550887241574, 'normalize': True} - results: {'ROC_AUC': 0.14945701587301663, 'PRECISION': 0.04880000000000044, 'RECALL': 0.04880000000000044, 'RECALL_TEST_LEN': 0.04880000000000044, 'MAP': 0.027021043650793587, 'MRR': 0.13504095238095223, 'NDCG': 0.057043010218441485, 'F1': 0.04880000000000043, 'HIT_RATE': 0.488, 'ARHR': 0.1897891666666657, 'NOVELTY': 0.00656447773681536, 'DIVERSITY_MEAN_INTER_LIST': 0.6516139193919391, 'DIVERSITY_HERFINDAHL': 0.9651548758, 'COVERAGE_ITEM': 0.08010661497455779, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07511264812575574, 'SHANNON_ENTROPY': 6.240470893269488} - time: 2018-11-30 14:10:53.363515
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.8387955619102108, 'weights2': 0.003146950559124173, 'weights3': 0.09476172809821803, 'weights4': 0.05475695877686848, 'normalize': False} - results: {'ROC_AUC': 0.12132722222222253, 'PRECISION': 0.03611000000000007, 'RECALL': 0.03611000000000007, 'RECALL_TEST_LEN': 0.03611000000000007, 'MAP': 0.020665238095238053, 'MRR': 0.11025690476190486, 'NDCG': 0.043669607327878474, 'F1': 0.03611000000000007, 'HIT_RATE': 0.3611, 'ARHR': 0.14916730158730104, 'NOVELTY': 0.006751394521601303, 'DIVERSITY_MEAN_INTER_LIST': 0.6546302190219022, 'DIVERSITY_HERFINDAHL': 0.9654564756, 'COVERAGE_ITEM': 0.1475163557063242, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.09381232840722496, 'SHANNON_ENTROPY': 6.668490680530037} - time: 2018-11-30 14:11:21.059086
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9456035035150817, 'weights2': 0.007209322765785897, 'weights3': 0.520583015445809, 'weights4': 0.9835103612660007, 'normalize': True} - results: {'ROC_AUC': 0.14276292063492127, 'PRECISION': 0.047980000000000474, 'RECALL': 0.047980000000000474, 'RECALL_TEST_LEN': 0.047980000000000474, 'MAP': 0.026558972222222206, 'MRR': 0.13163936507936508, 'NDCG': 0.05590869425162673, 'F1': 0.047980000000000474, 'HIT_RATE': 0.4798, 'ARHR': 0.18582999999999902, 'NOVELTY': 0.006607238679977106, 'DIVERSITY_MEAN_INTER_LIST': 0.653602296229623, 'DIVERSITY_HERFINDAHL': 0.9653536936, 'COVERAGE_ITEM': 0.11848800581536224, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07881879803761242, 'SHANNON_ENTROPY': 6.466050132176193} - time: 2018-11-30 14:11:49.502143
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.009149953125924704, 'weights2': 1.1496155982837486e-05, 'weights3': 0.9734476367705573, 'weights4': 0.0375942222440534, 'normalize': True} - results: {'ROC_AUC': 0.1427051031746037, 'PRECISION': 0.047050000000000494, 'RECALL': 0.047050000000000494, 'RECALL_TEST_LEN': 0.047050000000000494, 'MAP': 0.02597669047619046, 'MRR': 0.13152083333333325, 'NDCG': 0.055074640490114686, 'F1': 0.0470500000000005, 'HIT_RATE': 0.4705, 'ARHR': 0.1837257936507926, 'NOVELTY': 0.0065662193074796545, 'DIVERSITY_MEAN_INTER_LIST': 0.6530776597659766, 'DIVERSITY_HERFINDAHL': 0.9653012352, 'COVERAGE_ITEM': 0.0930942573297795, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07765761706555671, 'SHANNON_ENTROPY': 6.356223647394646} - time: 2018-11-30 14:12:18.189447
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.053196117308058954, 'weights2': 0.9647053342967441, 'weights3': 0.9502796499686288, 'weights4': 0.14336641132182038, 'normalize': False} - results: {'ROC_AUC': 0.1476609841269848, 'PRECISION': 0.04861000000000043, 'RECALL': 0.04861000000000043, 'RECALL_TEST_LEN': 0.04861000000000043, 'MAP': 0.026961662698412703, 'MRR': 0.13536888888888876, 'NDCG': 0.05696450010091066, 'F1': 0.04861000000000043, 'HIT_RATE': 0.4861, 'ARHR': 0.19008416666666558, 'NOVELTY': 0.006554328773063396, 'DIVERSITY_MEAN_INTER_LIST': 0.652309908990899, 'DIVERSITY_HERFINDAHL': 0.9652244678, 'COVERAGE_ITEM': 0.08020353767870124, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07626433574879227, 'SHANNON_ENTROPY': 6.269525681340062} - time: 2018-11-30 14:12:47.408558
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.005035130208175365, 'weights2': 0.018044953090284088, 'weights3': 0.9909499586941226, 'weights4': 0.9541722026661758, 'normalize': True} - results: {'ROC_AUC': 0.14418573809523857, 'PRECISION': 0.04779000000000046, 'RECALL': 0.04779000000000046, 'RECALL_TEST_LEN': 0.04779000000000046, 'MAP': 0.026366380952380898, 'MRR': 0.13292769841269816, 'NDCG': 0.05587217113599181, 'F1': 0.04779000000000046, 'HIT_RATE': 0.4779, 'ARHR': 0.1862071031746019, 'NOVELTY': 0.006564242564867263, 'DIVERSITY_MEAN_INTER_LIST': 0.6529855225522552, 'DIVERSITY_HERFINDAHL': 0.9652920224, 'COVERAGE_ITEM': 0.09081657378240852, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07757381333333334, 'SHANNON_ENTROPY': 6.343820602354078} - time: 2018-11-30 14:13:16.502158
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.6052841435222484, 'weights2': 0.9964254833567256, 'weights3': 0.1938112743124204, 'weights4': 0.09784243172365481, 'normalize': True} - results: {'ROC_AUC': 0.14971364682539753, 'PRECISION': 0.04905000000000037, 'RECALL': 0.04905000000000037, 'RECALL_TEST_LEN': 0.04905000000000037, 'MAP': 0.027344325396825353, 'MRR': 0.13726499999999994, 'NDCG': 0.05761207458898425, 'F1': 0.04905000000000037, 'HIT_RATE': 0.4905, 'ARHR': 0.1924965476190467, 'NOVELTY': 0.006562380985178872, 'DIVERSITY_MEAN_INTER_LIST': 0.6518592259225923, 'DIVERSITY_HERFINDAHL': 0.965179404, 'COVERAGE_ITEM': 0.08044584443905985, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07575135460565924, 'SHANNON_ENTROPY': 6.252743349320037} - time: 2018-11-30 14:13:46.991544
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9675577994212973, 'weights2': 0.062014806814096324, 'weights3': 0.9845337906189124, 'weights4': 0.975152622305676, 'normalize': False} - results: {'ROC_AUC': 0.145030305555556, 'PRECISION': 0.04842000000000049, 'RECALL': 0.04842000000000049, 'RECALL_TEST_LEN': 0.04842000000000049, 'MAP': 0.02669440476190477, 'MRR': 0.13298285714285715, 'NDCG': 0.05641282642409205, 'F1': 0.04842000000000049, 'HIT_RATE': 0.4842, 'ARHR': 0.1874462698412687, 'NOVELTY': 0.006584052020139341, 'DIVERSITY_MEAN_INTER_LIST': 0.6533014681468147, 'DIVERSITY_HERFINDAHL': 0.9653236138, 'COVERAGE_ITEM': 0.10511267264356676, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.07735782488479263, 'SHANNON_ENTROPY': 6.40513316444774} - time: 2018-11-30 14:14:17.262109
