BayesianSearch: Config is suboptimal. Config: {'top1': 536, 'shrink1': -1, 'alphaRP3': 1.2228336673346694, 'betaRP': 0.001} - MAP results: 0.025948150381564325 - time: 2018-12-14 20:18:24.032244
BayesianSearch: Config is suboptimal. Config: {'top1': 796, 'shrink1': -1, 'alphaRP3': 0.7300941883767536, 'betaRP': 0.3575350701402806} - MAP results: 0.027054399189189386 - time: 2018-12-14 20:19:32.354704
BayesianSearch: Config is suboptimal. Config: {'top1': 786, 'shrink1': -1, 'alphaRP3': 0.005006012024048097, 'betaRP': 1.3189779559118238} - MAP results: 0.00023686211435417086 - time: 2018-12-14 20:20:38.513505
BayesianSearch: Config is suboptimal. Config: {'top1': 441, 'shrink1': -1, 'alphaRP3': 1.9879819639278558, 'betaRP': 0.005006012024048097} - MAP results: 0.025441021729908052 - time: 2018-12-14 20:21:34.091217
BayesianSearch: Config is suboptimal. Config: {'top1': 281, 'shrink1': -1, 'alphaRP3': 0.6379559118236474, 'betaRP': 0.33349899799599203} - MAP results: 0.02739919557256986 - time: 2018-12-14 20:22:26.610240
BayesianSearch: Config is suboptimal. Config: {'top1': 136, 'shrink1': -1, 'alphaRP3': 0.2613907815631263, 'betaRP': 0.34551703406813633} - MAP results: 0.02736720700969411 - time: 2018-12-14 20:23:14.001148
BayesianSearch: Config is suboptimal. Config: {'top1': 1, 'shrink1': -1, 'alphaRP3': 0.541811623246493, 'betaRP': 0.4216312625250501} - MAP results: 0.008217064236743697 - time: 2018-12-14 20:23:57.940867
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'shrink1': -1, 'alphaRP3': 1.2028036072144288, 'betaRP': 1.995993987975952} - MAP results: 0.00017057608041035855 - time: 2018-12-14 20:24:56.915370
BayesianSearch: Config is suboptimal. Config: {'top1': 31, 'shrink1': -1, 'alphaRP3': 2.0, 'betaRP': 1.0665991983967935} - MAP results: 0.0003611908227339767 - time: 2018-12-14 20:25:40.598325
BayesianSearch: Config is suboptimal. Config: {'top1': 416, 'shrink1': -1, 'alphaRP3': 0.4456673346693387, 'betaRP': 2.0} - MAP results: 0.00017175452372246956 - time: 2018-12-14 20:26:47.500720
BayesianSearch: Config is suboptimal. Config: {'top1': 326, 'shrink1': -1, 'alphaRP3': 0.005006012024048097, 'betaRP': 0.9424128256513027} - MAP results: 0.0011281421465301528 - time: 2018-12-14 20:27:44.255050
BayesianSearch: Config is suboptimal. Config: {'top1': 796, 'shrink1': -1, 'alphaRP3': 0.4496733466933868, 'betaRP': 0.7341002004008017} - MAP results: 0.01503222086027149 - time: 2018-12-14 20:28:51.743133
BayesianSearch: Config is suboptimal. Config: {'top1': 796, 'shrink1': -1, 'alphaRP3': 2.0, 'betaRP': 1.286929859719439} - MAP results: 0.0002722288801427172 - time: 2018-12-14 20:29:52.125473
BayesianSearch: Config is suboptimal. Config: {'top1': 56, 'shrink1': -1, 'alphaRP3': 1.5272905811623247, 'betaRP': 0.001} - MAP results: 0.025796559207490244 - time: 2018-12-14 20:30:35.347233
BayesianSearch: Config is suboptimal. Config: {'top1': 261, 'shrink1': -1, 'alphaRP3': 0.48572745490981967, 'betaRP': 0.16524649298597197} - MAP results: 0.02692568562359251 - time: 2018-12-14 20:31:28.043678
BayesianSearch: Config is suboptimal. Config: {'top1': 411, 'shrink1': -1, 'alphaRP3': 1.4752124248496994, 'betaRP': 1.995993987975952} - MAP results: 0.00017043471103965764 - time: 2018-12-14 20:32:29.390426
BayesianSearch: Config is suboptimal. Config: {'top1': 516, 'shrink1': -1, 'alphaRP3': 0.3655470941883768, 'betaRP': 0.4737094188376754} - MAP results: 0.026561893342850446 - time: 2018-12-14 20:33:30.468474
BayesianSearch: Config is suboptimal. Config: {'top1': 381, 'shrink1': -1, 'alphaRP3': 1.995993987975952, 'betaRP': 0.621931863727455} - MAP results: 0.0075146178295449634 - time: 2018-12-14 20:34:27.990344
BayesianSearch: Config is suboptimal. Config: {'top1': 796, 'shrink1': -1, 'alphaRP3': 0.3815711422845692, 'betaRP': 0.08913226452905812} - MAP results: 0.025230117089749406 - time: 2018-12-14 20:35:26.016410
BayesianSearch: Best config is: Config {'top1': 91, 'shrink1': -1, 'alphaRP3': 0.49774549098196397, 'betaRP': 0.2333486973947896}, MAP value is 0.0275
