BayesianSearch: Testing config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.790184368737475} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.001} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:05:24.385938
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.7220821643286573} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:06:21.185994
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.001} - MAP results: 0.044196662345324225 - time: 2018-12-14 21:07:33.278097
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.3935891783567135} - MAP results: 0.045782147722661745 - time: 2018-12-14 21:08:50.337604
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 2.0} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:09:45.314333
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.7661482965931865} - MAP results: 0.04696375726479043 - time: 2018-12-14 21:11:01.432360
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.995993987975952} - MAP results: 0.04469538824731558 - time: 2018-12-14 21:12:16.150365
BayesianSearch: Config is suboptimal. Config: {'top1': 530, 'shrink1': -1, 'alphaP3': 0.5858777555110221} - MAP results: 0.046775616258579865 - time: 2018-12-14 21:13:31.911105
BayesianSearch: Config is suboptimal. Config: {'top1': 430, 'shrink1': -1, 'alphaP3': 0.18127054108216434} - MAP results: 0.046013908009714576 - time: 2018-12-14 21:14:41.200956
BayesianSearch: Config is suboptimal. Config: {'top1': 380, 'shrink1': -1, 'alphaP3': 0.8342505010020042} - MAP results: 0.04839616767027245 - time: 2018-12-14 21:15:43.454281
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.6354529058116234} - MAP results: 0.0467583681902111 - time: 2018-12-14 21:16:49.939356
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 0.18928256513026054} - MAP results: 0.04498451404489862 - time: 2018-12-14 21:17:56.007274
BayesianSearch: Config is suboptimal. Config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.3895831663326654} - MAP results: 0.04730906882477819 - time: 2018-12-14 21:19:02.558423
BayesianSearch: Config is suboptimal. Config: {'top1': 70, 'shrink1': -1, 'alphaP3': 1.3990981963927855} - MAP results: 0.05177756217575304 - time: 2018-12-14 21:20:04.359748
BayesianSearch: Config is suboptimal. Config: {'top1': 140, 'shrink1': -1, 'alphaP3': 1.1467194388777555} - MAP results: 0.05139964108961432 - time: 2018-12-14 21:21:10.676040
BayesianSearch: Config is suboptimal. Config: {'top1': 450, 'shrink1': -1, 'alphaP3': 0.7100641282565131} - MAP results: 0.04762670491436142 - time: 2018-12-14 21:22:28.139300
