BayesianSearch: Config is suboptimal. Config: {'top1': 541, 'lambda_i': 0.9949641032034059, 'lambda_j': 0.023055321227062664, 'shrink1': -1} - MAP results: 0.02211364249188994 - time: 2018-12-15 12:10:09.970134
BayesianSearch: Config is suboptimal. Config: {'top1': 671, 'lambda_i': 0.9854870969961954, 'lambda_j': 0.990887229474806, 'shrink1': -1} - MAP results: 0.02192226862276618 - time: 2018-12-15 12:13:51.692303
BayesianSearch: Config is suboptimal. Config: {'top1': 41, 'lambda_i': 0.03743933764298135, 'lambda_j': 0.9831327734704676, 'shrink1': -1} - MAP results: 0.02221932536441108 - time: 2018-12-15 12:17:15.165646
BayesianSearch: Config is suboptimal. Config: {'top1': 41, 'lambda_i': 0.9900018483143264, 'lambda_j': 0.9963422659300538, 'shrink1': -1} - MAP results: 0.021792211423834817 - time: 2018-12-15 12:20:39.553427
BayesianSearch: Config is suboptimal. Config: {'top1': 661, 'lambda_i': 0.006122689573856643, 'lambda_j': 0.00010898823369709376, 'shrink1': -1} - MAP results: 0.02114975214735354 - time: 2018-12-15 12:24:17.183012
BayesianSearch: Config is suboptimal. Config: {'top1': 291, 'lambda_i': 0.9961946466795409, 'lambda_j': 0.007938043129514627, 'shrink1': -1} - MAP results: 0.02214465762950532 - time: 2018-12-15 12:27:50.449329
BayesianSearch: Config is suboptimal. Config: {'top1': 521, 'lambda_i': 0.03104990872677804, 'lambda_j': 0.9946160034458115, 'shrink1': -1} - MAP results: 0.02132928877274372 - time: 2018-12-15 12:31:30.675143
BayesianSearch: Config is suboptimal. Config: {'top1': 241, 'lambda_i': 0.9976509321069194, 'lambda_j': 0.011875115552224869, 'shrink1': -1} - MAP results: 0.022151760463333666 - time: 2018-12-15 12:35:03.402997
BayesianSearch: Config is suboptimal. Config: {'top1': 791, 'lambda_i': 0.9819346239962448, 'lambda_j': 0.0659715283514749, 'shrink1': -1} - MAP results: 0.02191913200702241 - time: 2018-12-15 12:38:51.331488
BayesianSearch: Config is suboptimal. Config: {'top1': 631, 'lambda_i': 0.035420728811624724, 'lambda_j': 0.9878161212294957, 'shrink1': -1} - MAP results: 0.021322075235785075 - time: 2018-12-15 12:42:31.147338
BayesianSearch: Config is suboptimal. Config: {'top1': 171, 'lambda_i': 0.9652290840850324, 'lambda_j': 0.003570280997906128, 'shrink1': -1} - MAP results: 0.022197100771423724 - time: 2018-12-15 12:46:01.224669
BayesianSearch: Config is suboptimal. Config: {'top1': 571, 'lambda_i': 0.9887165586702424, 'lambda_j': 0.9793625749108188, 'shrink1': -1} - MAP results: 0.022065853448289343 - time: 2018-12-15 12:49:41.838791
